dziś 93873
kurwa 93855
wie 92776
taki 92569
aby 91995
skąd 90515
cholera 90028
dzieje 89707
wygląda 89704
wtedy 89502
mojego 89020
takie 88726
ile 88695
wszystkie 88296
mieć 87462
dlatego 87352
znaczy 87146
będziemy 87029
potem 86122
jasne 84529
iść 84345
dużo 83876
cóż 83458
tę 83421
byłem 83335
rozumiem 82629
wam 82512
miejsce 82432
cały 82357
trzeba 82238
moją 82132
można 81689
pomóc 80551
jako 79922
nich 79786
szybko 79546
jakiś 79443
mojej 79377
nią 79307
mają 78820
wszystkich 78724
jakieś 78630
wiedzieć 78558
swoje 78379
przykro 78352
stary 78129
zaraz 77737
myśli 77720
dzieci 77591
nad 77414
wiele 77042
kochanie 75302
kilka 74526
mówię 73750
mówisz 72831
zanim 72094
miałem 71793
kocham 71788
świetnie 71774
tobie 71674
takiego 71480
tyle 71437
robić 71185
trzy 70852
idź 70488
kogoś 70393
ani 70236
pewno 69987
myślałem 69327
widzisz 69094
kiedyś 68686
robi 68666
widzę 68519
jaki 68442
niej 68207
ojciec 68044
zbyt 67856
która 67646
zobaczyć 66563
przestań 66544
sposób 66219
pracy 65573
dzisiaj 65527
sie 65486 (sie could be a common misspelling mistake; should be się)
później 65274
bardziej 65265
będą 65165
aż 64974
życia 64382
jutro 63634
tą 62987
rację 62683
żebyś 62332
długo 62220
tato 62103
każdy 61560
twoim 61526
chciałem 61472
dni 61268
twojej 61090
nadzieję 60937
stanie 60903
koniec 60652
znam 60241
mamo 59764
swoją 59738
problem 59637
żyje 59579
potrzebuję 59449
widziałem 59436
spokój 59126
powiem 58913
minut 58871
broń 58600
panu 57879
mógł 57796
nami 57733
wy 57552
nocy 57442
wciąż 57238
znowu 57223
pieniądze 57097
imię 56986
dnia 56883
zabić 56825
drzwi 56742
pierwszy 56721
taka 56534
nasz 56231
posłuchaj 56210
ponieważ 56040
słuchaj 56016
jakie 55998
gdyby 55752
miło 55488
spójrz 55171
chciałbym 54679
sir 54675
razie 54507
nasze 54504
dokładnie 54449
czuję 54444
zrobił 53920
dobre 53780
samo 53424
nadal 53243
człowiek 52627
twoją 52602
znaleźć 52411
chwilę 52363
chciał 52254
kogo 51821
zostać 51709
czegoś 51618
wszystkim 51565
został 51434
roku 51394
mówić 51382
jesteście 50801
facet 50784
mów 50557
powiedziałem 50295
były 50159
którzy 50157
dziecko 50130
idziemy 49885
sama 49783
macie 49696
mówiłem 49521
we 49497
napisy 49310
mogą 49254
spokojnie 49245
sobą 49195
bym 49174
miała 49145
przecież 48935
dom 48912
poza 48757
zamknij 48606
byłeś 48564
lubię 48512
oh 48490
żadnych 48290
pomocy 48234
prawie 47866
gdzieś 47792
porozmawiać 47731
wcześniej 47584
podoba 47339
zrobię 46456
czekaj 46194
dość 45987
twojego 45986
lub 45942
moich 45786
razy 45590
znasz 45382
mały 45296
ciągle 45264
jakby 45227
wydaje 45206
mama 45190
powinniśmy 45112
jeżeli 45091
jack 44921
powinieneś 44786
innego 44606
sprawy 44488
rozumiesz 44444
trzymaj 44100
końcu 44071
powodu 44042
jedno 44003
pamiętasz 43970
pomysł 43864
noc 43769
pewien 43765
którą 43203
wiemy 43172
bądź 43109
żebym 42993
numer 42928
oczy 42855
lata 42779
dwie 42711
miejscu 42552
dokąd 42442
och 42401
pokoju 42270
chodźmy 42201
ojca 42157
weź 41951
idę 41896
samochód 41771
nowy 41525
jednak 41449
świat 41166
źle 41152
którego 41062
niczego 41005
oto 40989
dwóch 40251
sprawa 40016
swój 39445
idzie 39247
takim 39137
jedną 39023
wystarczy 38813
byłam 38771
rano 38756
nimi 38595
halo 38409
byś 38379
życiu 38155
całe 38154
wiedziałem 38051
swojego 38006
śmierć 37903
ręce 37889
musiał 37822
którym 37771
całą 37763
chcą 37708
da 37674
właściwie 37548
zrób 37367
panowie 37317
skoro 37210
drogi 37115
czujesz 36990
dam 36877
pozwól 36877
wyglądasz 36866
jednego 36824
jedna 36748
mówił 36703
których 36685
świecie 36444
patrz 36357
nikogo 36345
byli 36321
pytanie 36316
swoim 36189
której 36035
powinienem 35909
jezu 35908
dać 35885
rzecz 35827
powiedziała 35759
powiedziałeś 35755
najpierw 35621
sądzę 35603
prawo 35446
matka 35379
widzieć 35332
dr 35200
telefon 35156
podczas 35051
wczoraj 35027
śmierci 35009
pracę 34905
pamiętam 34851
uważaj 34830
parę 34736
wrócić 34703
diabła 34658
the 34552
robię 34521
zrobiłem 34469
kobiety 34445
poważnie 34369
miejsca 34332
znów 34199
cholery 34197
zrobiłeś 34090
sprawę 34034
zaczekaj 34010
powiesz 33888
rób 33782
natychmiast 33596
dziewczyna 33551
również 33542
działa 33525
słyszałem 33493
pięć 33449
super 33448
swoich 33399
mówią 33387
witam 33332
całkiem 33270
cokolwiek 33212
witaj 33098
gdybym 33091
żona 32963
prawdę 32928
zostaw 32873
bóg 32864
wierzę 32849
szybciej 32766
nieźle 32681
wielu 32661
inaczej 32609
gra 32569
dopiero 32555
wcale 32513
pieniędzy 32432
pójdę 32309
godziny 32217
wiedział 32192
udało 32190
człowieka 32185
stać 32164
wina 32155
wiecie 32144
swojej 32105
poznać 32007
inne 31916
jednym 31916
myślałam 31802
miałam 31797
chwili 31696
innych 31657
dopóki 31559
nowa 31325
kobieta 31238
nowego 31217
miłość 31185
ziemi 31107
inny 31025
przynajmniej 30943
nasza 30865
ważne 30862
wiadomość 30812
dolarów 30797
słowa 30777
słucham 30765
naszych 30712
naszej 30686
między 30623
dostać 30606
czasem 30583
chciałam 30458
jaką 30404
gówno 30375
brzmi 30345
chcemy 30272
każdego 30096
raczej 30074
możliwe 30045
każdym 29992
widziałeś 29988
dawaj 29971
nazywa 29892
powinien 29838
zabrać 29797
dziewczyny 29790
miałeś 29746
chłopaki 29717
doktorze 29631
potrzebuje 29631
zgadza 29621
zrobimy 29594
godzin 29468
ostatni 29453
wieczór 29439
świata 29408
serce 29364
martw 29354
wielki 29353
powrotem 29298
żyć 29283
one 29217
plan 29204
pl 29177
byłoby 29172
potrzebujemy 29151
dobranoc 28988
żadnego 28980
kapitanie 28915
zobaczenia 28908
możecie 28873
wspaniale 28817
ogóle 28779
także 28691
pół 28687
idziesz 28570
takich 28524
pojęcia 28489
twoich 28412
czymś 28375
cztery 28367
skarbie 28291
tata 28267
naszego 28250
panią 28243
wybacz 28100
chcecie 28034
zrobisz 28032
pokój 27942
poczekaj 27734
uda 27667
głowy 27634
szczęście 27621
wyjść 27560
robota 27521
naszym 27421
syn 27389
gotowy 27371
cieszę 27361
głowę 27280
rozmawiać 27266
krwi 27199
wszystkiego 27191
zabił 27183
czasie 27182
ciało 27094
należy 27025
dziwne 26997
została 26859
przeciwko 26852
ruszaj 26821
cała 26731
strony 26716
jaka 26574
mógłbym 26502
oznacza 26433
pomoc 26428
taką 26420
zostało 26386
miasta 26369
tłumaczenie 26367
końca 26351
zostanie 26296
policja 26141
mieli 26097
pewna 26045
obchodzi 26017
ode 26001
syna 25923
czasami 25817
twarz 25773
rok 25639
mieliśmy 25523
lecz 25481
ostatnio 25461
uwierzyć 25453
daleko 25423
rodziny 25406
mogłem 25404
lubisz 25357
blisko 25316
zły 25310
środku 25242
boga 25241
byliśmy 25218
drodze 25211
szkoły 25209
czeka 25201
słowo 25132
radę 24920
człowiekiem 24919
mogła 24907
brat 24899
mała 24864
krew 24846
najbardziej 24791
wejść 24785
zewnątrz 24588
mąż 24568
robimy 24546
słyszysz 24441
kimś 24431
część 24395
wieczorem 24350
widziałam 24317
zna 24311
wody 24263
moi 24234
potrzebujesz 24207
lubi 24169
wracaj 24102
rękę 24023
tydzień 23987
frank 23982
wrócę 23949
innym 23927
wypadek 23897
mówiłeś 23861
stronie 23851
mógłbyś 23803
sprawie 23779
zobaczymy 23740
wziąć 23664
gdybyś 23657
naszą 23601
nazywam 23587
późno 23578
zależy 23448
człowieku 23435
góry 23403
pomóż 23348
jechać 23331
pokaż 23278
ciężko 23252
napisów 23180
serio 23122
roboty 23100
zrobi 22949
mniej 22858
broni 22846
kiedykolwiek 22809
temat 22767
mało 22758
popatrz 22689
charlie 22667
prawa 22627
miesięcy 22604
pójść 22597
koleś 22575
jedziemy 22552
wkrótce 22515
nowe 22493
pierwsze 22435
nazwisko 22435
miasto 22429
racja 22411
leci 22409
zostań 22338
stronę 22319
nieważne 22307
chciała 22283
chłopak 22277
zdjęcia 22145
znalazłem 22127
powinno 22119
robią 22114
powinnaś 22100
statek 22082
zostały 22043
wszędzie 22039
prosto 22000
wielkie 21963
dół 21960
zupełnie 21921
tędy 21870
spotkanie 21868
małe 21789
ponad 21715
według 21683
widział 21679
mówiąc 21670
drogę 21669
doktor 21645
praca 21644
drugi 21632
byłaś 21546
górę 21507
wiedzą 21504
mieście 21496
jakoś 21492
film 21489
czyli 21453
chociaż 21389
kłopoty 21376
droga 21338
samochodu 21301
szansę 21294
zatrzymać 21290
niemożliwe 21244
spać 21235
chłopcy 21208
mógłby 21175
wasza 21159
sądzisz 21153
przyjaciel 21119
michael 21102
tymi 21099
złe 21079
mogli 20933
synu 20891
powiedziałam 20832
szkoda 20706
całym 20702
żaden 20625
taa 20625
trzech 20525
wami 20517
pracuje 20465
faceta 20464
sprawdzić 20375
pogadać 20359
serca 20341
you 20326
kraju 20288
dał 20269
trudno 20265
drugiej 20237
zaczyna 20197
brak 20157
choć 20152
powinnam 20132
ruszać 20126
chciałabym 20099
cicho 20099
samego 20075
dziewczynę 20062
godzinę 20018
piękna 19954
jakąś 19935
tom 19926
www 19870
widzenia 19865
spotkać 19848
pracować 19835
żadnej 19786
pa 19752
spróbuj 19726
znać 19692
ciała 19687
przyjaciół 19684
razu 19655
zapomnij 19631
harry 19610
najlepszy 19596
ostatnie 19567
policji 19566
otwórz 19539
problemy 19509
ojcem 19467
przykład 19430
myśleć 19409
głupi 19333
wolno 19326
słyszałeś 19305
powodzenia 19300
rodzina 19280
pomoże 19280
kilku 19257
uwagę 19239
muszą 19235
chwila 19217
jakaś 19213
zdjęcie 19119
środka 19118
nowym 19109
szefie 19105
odejść 19063
wspólnego 19059
musiałem 19029
sami 19019
ziemię 19017
dawno 18961
będziecie 18923
trzymać 18902
pracuję 18892
pewnego 18890
inni 18867
gotowi 18855
sześć 18790
głowie 18786
zabierz 18784
sekund 18739
zmienić 18731
zabiję 18728
czekać 18714
gość 18695
walczyć 18692
chwileczkę 18643
wystarczająco 18597
musicie 18591
dasz 18571
tysięcy 18517
pierwsza 18503
zadzwonić 18482
rady 18475
prawdopodobnie 18465
zostawić 18440
niestety 18436
zobacz 18426
nagle 18421
wezmę 18393
zabawne 18389
żonę 18380
panem 18378
większość 18299
wracam 18253
joe 18195
wiedziałam 18175
brata 18136
często 18084
powie 18065
dobrym 18047
tyłu 18043
błąd 17999
boję 17991
cel 17987
rany 17953
mówiłam 17936
wasze 17906
niczym 17894
obiecuję 17890
początku 17885
historia 17877
chciałeś 17857
uwaga 17801
gotowa 17796
zacząć 17781
zatem 17741
tony 17715
istnieje 17686
jednej 17667
pokazać 17651
nikomu 17636
jakim 17609
rodzice 17594
okay 17588
szkole 17587
czuje 17557
los 17499
george 17485
david 17481
obok 17478
uspokój 17472
chodźcie 17463
miało 17452
całkowicie 17437
stój 17426
wiadomości 17399
pomyślałem 17374
nogi 17348
org 17336
ulicy 17330
matki 17330
fbi 17320
jedź 17285
wojny 17263
ciągu 17261
okazji 17257
zadzwonię 17255
około 17208
ojcze 17201
samym 17179
uważam 17176
miłości 17169
mike 17160
przyszedł 17141
tygodniu 17136
prawdziwe 17128
zadzwoń 17127
widać 17122
myśl 17121
pozwolić 17119
słyszę 17112
wracać 17110
dajcie 17109
historii 17096
http 17073
zajmę 17013
wieku 17011
jedynie 17011
zamiast 16965
jakiegoś 16951
umrzeć 16915
wróci 16909
przyjdzie 16863
łatwo 16857
siostra 16854
oraz 16853
prawdziwy 16842
czyż 16835
następny 16712
proste 16711
