rank	word	lemma	meanings
3031	pecado		NOUN|sin|1.00
3032	pecado	pecar	VERB|sinned|1.00
3033	mortal		ADJ|mortal/deadly|1.00
3034	manda		VERB|sends/commands|1.00
3035	claramente		ADV|clearly|1.00
3036	juntas	junta	NOUN|meetings/together|1.00
3037	identificación		NOUN|identification|1.00
3038	dirige	dirigir	VERB|directs/leads|1.00
3039	declaración		NOUN|declaration/statement|1.00
3040	bestia		NOUN|beast|1.00
3041	veneno		NOUN|poison|1.00
3042	vecinos	vecino	NOUN|neighbors|1.00
3057	jurado		NOUN|jury/juror|1.00
3061	metas	meta	NOUN|goals|1.00
3063	garganta		NOUN|throat|1.00
3064	invierno		NOUN|winter|1.00
3065	fila		NOUN|row/line|1.00
3066	miel		NOUN|honey|1.00
3068	sucedido		VERB|happened|1.00
3072	burro		NOUN|donkey/idiot|1.00
3073	artista		NOUN|artist|1.00
3075	impresión		NOUN|impression|1.00
3077	cruzar		VERB|to cross|1.00
3079	ó		CONJ|or|1.00
3081	grial		NOUN|grail|1.00
3082	chaqueta		NOUN|jacket|1.00
3087	usado		ADJ|used|1.00
3088	reputación		NOUN|reputation|1.00
3090	oxígeno		NOUN|oxygen|1.00
3098	experto		NOUN|expert|0.60;ADJ|expert|0.40
3099	océano		NOUN|ocean|1.00
3100	maestra		NOUN|teacher|1.00
3102	pieza		NOUN|piece/room|1.00
3105	alcohol		NOUN|alcohol|1.00
3108	pizza		NOUN|pizza|1.00
3114	actitud		NOUN|attitude|1.00
3115	gira		NOUN|tour|1.00
3116	gira	girar	VERB|turns/spins|1.00
3117	cristal		NOUN|crystal/glass|1.00
3120	caído		VERB|fallen|1.00
3124	seguido		ADV|straight/followed|1.00
3127	whisky		NOUN|whisky|1.00
3129	pantalla		NOUN|screen|1.00
3130	bebida		NOUN|drink/beverage|1.00
3133	ducha		NOUN|shower|1.00
3134	ducha	duchar	VERB|showers|1.00
3135	despedido		VERB|fired/dismissed|1.00
3136	despedido	despedir	VERB|fired/said goodbye|1.00
3141	artículo		NOUN|article/item|1.00
3144	trauma		NOUN|trauma|1.00
3147	contesta	contestar	VERB|answers|1.00
3149	contenta	contentar	VERB|happy/pleased|1.00
3150	ambiente		NOUN|environment/atmosphere|1.00
3155	berlín	Berlín	PROPN|Berlin|1.00
3157	hallar		VERB|to find|1.00
3161	instrucciones	instrucción	NOUN|instructions|1.00
3168	palacio		NOUN|palace|1.00
3170	venta		NOUN|sale|1.00
3171	urgente		ADJ|urgent|1.00
3174	cuerda		NOUN|rope/string|1.00
3175	cuerda	cuerdo	ADJ|sane|1.00
3178	instante		NOUN|instant/moment|1.00
3181	secundaria	secundario	ADJ|secondary/high school|1.00
3182	saltar		VERB|to jump|1.00
3185	molesto		ADJ|annoyed/upset|1.00
3188	porquería		NOUN|crap/junk|1.00
3192	terroristas	terrorista	NOUN|terrorists|1.00
3195	moto		NOUN|motorcycle|1.00
3196	opinas	opinar	VERB|you think/opine|1.00
3197	habilidad		NOUN|skill/ability|1.00
3199	descubierto		VERB|discovered|1.00
3201	convertido		VERB|converted/become|1.00
3205	kilos	kilo	NOUN|kilos|1.00
3206	florida	florido	ADJ|flowery|1.00
3208	sufrir		VERB|to suffer|1.00
3209	mental		ADJ|mental|1.00
3211	instituto		NOUN|institute|1.00
3214	plato		NOUN|plate/dish|1.00
3220	alemania	Alemania	PROPN|Germany|1.00
3224	ilegal		ADJ|illegal|1.00
3225	fresco		ADJ|fresh/cool|1.00
3226	falso		ADJ|false|1.00
3230	cuán		ADV|how|1.00
3232	botas	bota	NOUN|boots|1.00
3234	tiburones	tiburón	NOUN|sharks|1.00
3237	archivos	archivo	NOUN|files|1.00
3238	adivina	adivinar	VERB|guess|1.00
3239	cruz		NOUN|cross|1.00
3240	campaña		NOUN|campaign|1.00
3243	centavos	centavo	NOUN|cents|1.00
3245	galletas	galleta	NOUN|cookies|1.00
3246	frecuencia		NOUN|frequency|1.00
3249	emociones	emoción	NOUN|emotions|1.00
3253	pasión		NOUN|passion|1.00
3255	comportamiento		NOUN|behavior|1.00
3257	conocimiento		NOUN|knowledge|1.00
3259	fiscal		NOUN|prosecutor|0.60;ADJ|fiscal|0.40
3263	amanecer		NOUN|dawn|0.60;VERB|to dawn|0.40
3265	aldea		NOUN|village|1.00
3267	obvio		ADJ|obvious|1.00
3269	apesta	apestar	VERB|stinks|1.00
3270	abandonado		ADJ|abandoned|1.00
3278	roca		NOUN|rock|1.00
3280	maravilla		NOUN|wonder/marvel|1.00
3281	espacial		ADJ|space/spatial|1.00
3282	conductor		NOUN|driver/conductor|1.00
3283	camarada		NOUN|comrade|1.00
3285	caramba		INTJ|wow/damn|1.00
3286	sopa		NOUN|soup|1.00
3288	gritar		VERB|to shout/scream|1.00
3290	casino		NOUN|casino|1.00
3291	alteza		NOUN|highness|1.00
3292	identidad		NOUN|identity|1.00
3297	arresto		NOUN|arrest|1.00
3298	arresto	arrestar	VERB|arrest|1.00
3304	probable		ADJ|probable/likely|1.00
3308	federal		ADJ|federal|1.00
3312	expediente		NOUN|file/record|1.00
3313	tigre		NOUN|tiger|1.00
3315	harto		ADJ|fed up|1.00
3316	harto	hartar	VERB|fed up/full|1.00
3320	lento		ADJ|slow|1.00
3327	cruel		ADJ|cruel|1.00
3329	gigante		NOUN|giant|0.60;ADJ|giant|0.40
3332	incidente		NOUN|incident|1.00
3333	escenario		NOUN|scenario/stage|1.00
3338	biblia		NOUN|bible|1.00
3339	reporte		NOUN|report|1.00
3343	reacción		NOUN|reaction|1.00
3344	falla		NOUN|fault/failure|1.00
3345	falla	fallar	VERB|fails|1.00
3346	castigo		NOUN|punishment|1.00
3347	castigo	castigar	VERB|punishment|1.00
3348	fácilmente		ADV|easily|1.00
3349	caza		NOUN|hunt/hunting|1.00
3350	caza	cazar	VERB|hunts|1.00
3351	magnífico		ADJ|magnificent|1.00
3354	superficie		NOUN|surface|1.00
3355	procedimiento		NOUN|procedure|1.00
3357	asalto		NOUN|assault|1.00
3358	asalto	asaltar	VERB|assault|1.00
3359	virgen		NOUN|virgin|0.70;ADJ|virgin|0.30
3364	noble		ADJ|noble|0.60;NOUN|noble|0.40
3365	hierba		NOUN|grass/herb|1.00
3366	excelencia		NOUN|excellence|1.00
3367	asco		NOUN|disgust|1.00
3368	título		NOUN|title|1.00
3379	impuestos	impuesto	NOUN|taxes|1.00
3380	impuestos	imponer	VERB|imposed|1.00
3409	jesucristo	Jesucristo	PROPN|Jesus Christ|1.00
3427	física	físico	NOUN|physics|1.00
3432	excusa	excusar	VERB|excuse|1.00
3439	cole		NOUN|school|1.00
3473	alternativa	alternativo	NOUN|alternative|1.00
3510	partida		NOUN|departure/game|1.00
3538	cierre		NOUN|closure/closing|1.00
3543	pasas	pasa	NOUN|raisins|1.00
3552	desnudo		ADJ|naked|1.00
3553	desnudo	desnudar	VERB|naked/stripped|1.00
3562	armada		NOUN|navy/armed|1.00
3563	armada	armado	ADJ|armed|1.00
3572	sacado		VERB|taken out|1.00
3575	secuestro		NOUN|kidnapping|1.00
3576	secuestro	secuestrar	VERB|kidnapping|1.00
3577	casco		NOUN|helmet|1.00
3578	casco	cascar	VERB|crack/break|1.00
3594	salvado		VERB|saved|1.00
3619	despejado		ADJ|clear|1.00
3620	despejado	despejar	VERB|cleared|1.00
3621	creado		VERB|created|1.00
3630	despacho		NOUN|office|1.00
3631	despacho	despachar	VERB|dispatch/office|1.00
3634	recibo		NOUN|receipt|1.00
3645	aprecio		NOUN|appreciation|1.00
3646	aprecio	apreciar	VERB|I appreciate|1.00
3667	logrado		VERB|achieved|1.00
3675	india		NOUN|Indian woman|1.00
3676	india	indio	ADJ|Indian|1.00
3677	india	India	PROPN|India|1.00
3679	esperado		VERB|waited/expected|1.00
3685	encanto		NOUN|charm|1.00
3699	clínica		NOUN|clinic|1.00
3700	clínica	clínico	ADJ|clinical|1.00
3705	ejercito	ejercitar	VERB|I exercise|1.00
3713	planeado		VERB|planned|1.00
3714	planeado	planear	VERB|planned|1.00
3723	destruido		VERB|destroyed|1.00
3734	logro		NOUN|achievement|1.00
3742	arrestado		VERB|arrested|1.00
3757	falsa		ADJ|false|1.00
3774	despedida		NOUN|farewell/goodbye|1.00
3789	detenido		VERB|detained/stopped|1.00
3794	prohibido		VERB|forbidden|1.00
3795	prohibido	prohibir	VERB|forbidden|1.00
3802	acusado		NOUN|accused|0.60;VERB|accused|0.40
3803	acusado	acusar	VERB|accused|1.00
3878	olvido		NOUN|forgetfulness/oblivion|1.00
3911	pagado		VERB|paid|1.00
3918	condenado		VERB|condemned/damned|1.00
3919	condenado	condenar	VERB|condemned|1.00
3920	cometido	cometer	VERB|committed|1.00
3921	cometido		NOUN|task/mission|1.00
3926	poli		NOUN|cop|1.00
3929	charla		NOUN|talk/chat|1.00
3930	charla	charlar	VERB|talk/chat|1.00
3954	caída		NOUN|fall|1.00
3974	encerrado		VERB|locked up|1.00
3975	encerrado	encerrar	VERB|locked up|1.00
3979	amado		VERB|loved|1.00
3993	confundido		VERB|confused|1.00
3994	confundido	confundir	VERB|confused|1.00
4007	disparado		VERB|shot/fired|1.00
4020	empleado		NOUN|employee|1.00
4047	regresado		VERB|returned|1.00
4056	espía		NOUN|spy|1.00
4057	espía	espiar	VERB|spies|1.00
4059	salto		NOUN|jump/leap|1.00
4074	clara		ADJ|clear|1.00
4087	progreso		NOUN|progress|1.00
4088	progreso	progresar	VERB|progress|1.00
4094	rusia	Rusia	PROPN|Russia|1.00
4095	rusia		NOUN|Russian woman|1.00
4097	gatito		NOUN|kitten|1.00
4102	sufrido		VERB|suffered|1.00
4105	helena	heleno	ADJ|Hellenic/Greek|1.00
4106	helena	Helena	PROPN|Helena|1.00
4110	salva		VERB|saves|1.00
4113	lanza		NOUN|spear/lance|1.00
4114	lanza	lanzar	VERB|throws/launches|1.00
4117	prometido		VERB|promised|0.60;NOUN|fiancé|0.40
4135	escondido		VERB|hidden|1.00
4136	escondido	esconder	VERB|hidden|1.00
4138	perrito		NOUN|puppy/little dog|1.00
4144	diseño		NOUN|design|1.00
4145	diseño	diseñar	VERB|design|1.00
4147	barra	barrer	VERB|sweeps|1.00
4149	alfombra		NOUN|carpet/rug|1.00
4150	alfombra	alfombrar	VERB|carpet|1.00
4190	enterrado		VERB|buried|1.00
4191	enterrado	enterrar	VERB|buried|1.00
4200	encargado		NOUN|person in charge|1.00
4218	involucrado		VERB|involved|1.00
4219	involucrado	involucrar	VERB|involved|1.00
4227	costado		NOUN|side|1.00
4232	médica		NOUN|doctor|0.60;ADJ|medical|0.40
4267	asesina		NOUN|killer|0.60;VERB|kills|0.40
4286	tómate	tomate	NOUN|take it|1.00
4299	pasta		NOUN|pasta/paste|1.00
4300	pasta	pastar	VERB|graze|1.00
4310	pinta		NOUN|look/appearance|1.00
4311	pinta	pintar	VERB|paints|1.00
4338	desconocido		NOUN|stranger|0.60;ADJ|unknown|0.40
4339	desconocido	desconocer	VERB|unknown|1.00
4341	refugio		NOUN|refuge/shelter|1.00
4342	refugio	refugiar	VERB|shelter|1.00
4346	arruinado		VERB|ruined|1.00
4347	arruinado	arruinar	VERB|ruined|1.00
4353	arreglado		VERB|fixed/arranged|1.00
4360	puesta		NOUN|setting/bet|1.00
4381	tirado		VERB|thrown/lying|1.00
4383	notado		VERB|noticed|1.00
4391	césar		NOUN|Caesar|1.00
4392	césar	César	PROPN|César|1.00
4393	comprado		VERB|bought|1.00
4413	informado		VERB|informed|1.00
4416	enfadado		VERB|angry|1.00
4417	enfadado	enfadar	VERB|angered|1.00
4421	ronda		NOUN|round/patrol|1.00
4422	ronda	rondar	VERB|patrols/circles|1.00
4423	cobra		NOUN|cobra|1.00
4424	cobra	cobrar	VERB|charges/collects|1.00
4426	abrazo		NOUN|hug|1.00
4427	abrazo	abrazar	VERB|hug|1.00
4488	medida		NOUN|measure|1.00
4489	medida	medir	VERB|measured|1.00
4494	sincronizado		VERB|synchronized|1.00
4495	sincronizado	sincronizar	VERB|synchronized|1.00
4509	liga		NOUN|league|1.00
4510	liga	ligar	VERB|ties/picks up|1.00
4523	naranja		NOUN|orange|1.00
4524	naranja	naranjo	NOUN|orange tree|1.00
4526	jugada		NOUN|play/move|1.00
4557	retiro		NOUN|retirement/retreat|1.00
4558	retiro	retirar	VERB|withdrawal|1.00
4576	engaño		NOUN|deception|1.00
4577	engaño	engañar	VERB|deception|1.00
4597	reserva		NOUN|reservation/reserve|1.00
4598	reserva	reservar	VERB|reserve|1.00
4599	propuesta		NOUN|proposal|1.00
4600	propuesta	propuesto	VERB|proposed|1.00
4601	propuesta	proponer	VERB|proposal|1.00
4609	dormida	dormido	ADJ|asleep|1.00
4616	hechizo		NOUN|spell|1.00
4617	hechizo	hechizar	VERB|spell|1.00
4651	echado		VERB|thrown/laid|1.00
4654	cortado		VERB|cut|1.00
4686	llegada		NOUN|arrival|1.00
4697	dibujo	dibujar	NOUN|drawing|1.00
4718	cumplido		NOUN|compliment|0.60;VERB|fulfilled|0.40
4734	causado		VERB|caused|1.00
4759	demanda		NOUN|demand/lawsuit|1.00
4760	demanda	demandar	VERB|demands/sues|1.00
4786	significado		NOUN|meaning|1.00
4802	considerado		VERB|considered|1.00
4807	satisfecho		VERB|satisfied|1.00
4808	satisfecho	satisfacer	VERB|satisfied|1.00
4816	renta		NOUN|rent/income|1.00
4817	renta	rentar	VERB|rents|1.00
4823	figura		NOUN|figure|1.00
4824	figura	figurar	VERB|figures/appears|1.00
4825	ensayo		NOUN|essay/rehearsal|1.00
4826	ensayo	ensayar	VERB|rehearsal|1.00
4864	vencido		VERB|defeated/expired|1.00
4865	vencido	vencer	VERB|defeated|1.00
4867	vela	velar	VERB|watches/candle|1.00
4901	prestado		VERB|lent/borrowed|1.00
4902	prestado	prestar	VERB|lent|1.00
4968	callado		VERB|quiet/silenced|1.00
4981	bebidas	bebido	ADJ|drunk|1.00
4990	escapado		VERB|escaped|1.00
4996	sostén		NOUN|bra/support|1.00
4997	sostén	sostener	VERB|support|1.00
5004	presa		NOUN|prey/dam|1.00
5028	escala		NOUN|scale/ladder|1.00
5029	escala	escalar	VERB|scales/climbs|1.00
5033	sobra		NOUN|leftover|1.00
5034	sobra	sobrar	VERB|is left over|1.00
5043	barbara	bárbaro	ADJ|barbaric|1.00
5044	barbara	Barbara	PROPN|Barbara|1.00
5046	voto		NOUN|vote|1.00
5047	voto	votar	VERB|vote|1.00
5050	reto		NOUN|challenge|1.00
5051	reto	retar	VERB|challenge|1.00
5073	conocida		ADJ|known|1.00
5077	aceptado		VERB|accepted|1.00
5079	rob		NOUN|robbery|1.00
5080	rob	Rob	PROPN|Rob|1.00
5082	fracaso		NOUN|failure|1.00
5083	fracaso	fracasar	VERB|failure|1.00
5086	sorprendido		VERB|surprised|1.00
5088	protegido		VERB|protected|1.00
5101	convencido		VERB|convinced|1.00
5119	quejas	queja	NOUN|complaints|1.00
5120	quejas	quejar	VERB|complains|1.00
5128	acostumbrado		VERB|accustomed|1.00
5129	acostumbrado	acostumbrar	VERB|accustomed|1.00
5130	torneo		NOUN|tournament|1.00
5131	torneo	tornear	VERB|tournament|1.00
5136	kg		NOUN|kilogram|1.00
5137	kg	kilogramo	NOUN|kilogram|1.00
5139	confirmado		VERB|confirmed|1.00
5140	confirmado	confirmar	VERB|confirmed|1.00
5153	lavado		VERB|washed|1.00
5164	lola		NOUN|lola|1.00
5165	lola	lolo	NOUN|lola|1.00
5166	lola	Lola	PROPN|Lola|1.00
5168	lentes		NOUN|glasses|1.00
5172	bate	batir	VERB|beats/bats|1.00
5181	canadá	Canadá	PROPN|Canada|1.00
5185	porno		NOUN|porn|1.00
5188	intercambio	intercambiar	NOUN|exchange|1.00
5195	rita	rito	NOUN|rite|1.00
5196	rita	Rita	PROPN|Rita|1.00
5223	interna	internar	VERB|internal|1.00
5225	españa	España	PROPN|Spain|1.00
5243	enterado	enterar	VERB|aware/informed|1.00
5269	raya	rayar	VERB|line/stripe|1.00
5285	cómoda		NOUN|dresser|0.60;ADJ|comfortable|0.40
5294	adorable		ADJ|adorable|1.00
5295	vencedor		NOUN|winner|1.00
5299	técnicas	técnico	NOUN|techniques|1.00
5303	peligrosa		ADJ|dangerous|1.00
5304	isla		NOUN|island|1.00
5310	atrevido		VERB|dared|0.60;ADJ|daring|0.40
5311	cansado		ADJ|tired|1.00
5315	fobia		NOUN|phobia|1.00
5325	apartado		VERB|separated/removed|1.00
5336	cortés		ADJ|polite/courteous|1.00
5345	trago		NOUN|drink/swig|1.00
5346	plástico		NOUN|plastic|1.00
5351	entendido		VERB|understood|1.00
5355	atrapado		VERB|trapped|1.00
5357	oculta		ADJ|hidden|1.00
5358	calor		NOUN|heat|1.00
5361	grabado		VERB|recorded|1.00
5371	respetado		VERB|respected|1.00
5372	república		NOUN|republic|1.00
5373	pacientes	paciente	NOUN|patients|1.00
5375	inspirado		VERB|inspired|1.00
5377	correo		NOUN|mail/email|1.00
5378	correa		NOUN|leash/belt|1.00
5381	decente		ADJ|decent|1.00
5383	abandonar		VERB|to abandon|1.00
5387	suerte		NOUN|luck|1.00
5388	estatus		NOUN|status|1.00
5391	arturo		NOUN|Arthur|1.00
5395	aprobado		VERB|approved/passed|1.00
5401	academia		NOUN|academy|1.00
5409	retrato		NOUN|portrait|1.00
5410	rechazado		VERB|rejected|1.00
5414	promesas	promesa	NOUN|promises|1.00
5418	ocupada		ADJ|busy|1.00
5427	casarse		VERB|to get married|1.00
5430	arriba		ADV|up/above|1.00
5434	violencia		NOUN|violence|1.00
5438	rosario		NOUN|rosary|1.00
5441	fantasías	fantasía	NOUN|fantasies|1.00
5442	dragón		NOUN|dragon|1.00
5444	compartir		VERB|to share|1.00
5448	vacaciones		NOUN|vacation|1.00
5449	temporal		ADJ|temporary|0.70;NOUN|storm|0.30
5450	sentido		NOUN|sense|0.70;VERB|felt|0.30
5454	representante		NOUN|representative|1.00
5455	rápidamente		ADV|rapidly/quickly|1.00
5457	novio		NOUN|boyfriend/groom|1.00
5460	merecido		VERB|deserved|1.00
5461	irlandés		NOUN|Irish|0.60;ADJ|Irish|0.40
5464	febrero		NOUN|February|1.00
5465	dormitorio		NOUN|bedroom|1.00
5473	roto		VERB|broken|1.00
5474	recluso		NOUN|inmate/prisoner|1.00
5475	perverso		ADJ|perverse|1.00
5476	mezclado		VERB|mixed|1.00
5478	martes		NOUN|Tuesday|1.00
5479	cuero		NOUN|leather|1.00
5482	arruinar		VERB|to ruin|1.00
5484	zona		NOUN|zone/area|1.00
5486	traído		VERB|brought|1.00
5489	soñar		VERB|to dream|1.00
5491	silencioso		ADJ|silent/quiet|1.00
5492	posesión		NOUN|possession|1.00
5494	mosquito		NOUN|mosquito|1.00
5496	maníaco		NOUN|maniac|1.00
5499	labios		NOUN|lips|1.00
5500	hierro		NOUN|iron|1.00
5503	hermanita		NOUN|little sister|1.00
5507	ganador		NOUN|winner|1.00
5508	extremo		NOUN|extreme/end|0.60;ADJ|extreme|0.40
5510	escalera		NOUN|stairs/ladder|1.00
5515	conveniencia		NOUN|convenience|1.00
5519	atención		NOUN|attention|1.00
5523	sugerencia		NOUN|suggestion|1.00
5525	reina		NOUN|queen|1.00
5526	puntual		ADJ|punctual|1.00
5527	prisioneros	prisionero	NOUN|prisoners|1.00
5530	penetración		NOUN|penetration|1.00
5531	partes	parte	NOUN|parts|1.00
5533	maldito		ADJ|damn/cursed|1.00
5534	lobo		NOUN|wolf|1.00
5536	lealtad		NOUN|loyalty|1.00
5539	heridas	herida	NOUN|wounds/injuries|1.00
5542	gigantes	gigante	NOUN|giants|1.00
5543	especialmente		ADV|especially|1.00
5544	entretenimiento		NOUN|entertainment|1.00
5545	entretenido		VERB|entertained|1.00
5550	china		NOUN|China/Chinese|1.00
5551	carbón		NOUN|coal/charcoal|1.00
5553	alquilar		VERB|to rent|1.00
5557	universos	universo	NOUN|universes|1.00
5559	tontería		NOUN|nonsense/foolishness|1.00
5561	temporal		NOUN|storm|0.60;ADJ|temporary|0.40
5563	setenta		NUM|seventy|1.00
5564	rosas	rosa	NOUN|roses|1.00
5565	protesta		NOUN|protest|1.00
5566	pilotos	piloto	NOUN|pilots|1.00
5567	pañuelo		NOUN|handkerchief|1.00
5569	máquinas	máquina	NOUN|machines|1.00
5570	magos	mago	NOUN|magicians|1.00
5574	fantasma		NOUN|ghost|1.00
5575	eterna		ADJ|eternal|1.00
5576	estallido		NOUN|explosion/outbreak|1.00
5577	empeora		VERB|worsens|1.00
5579	contrato		NOUN|contract|1.00
5581	cien		NUM|one hundred|1.00
5582	capacidad		NOUN|capacity|1.00
5583	bordillo		NOUN|curb|1.00
5588	testigos	testigo	NOUN|witnesses|1.00
5590	callejón		NOUN|alley|1.00
5594	rudo		ADJ|rough/rude|1.00
5599	delito		NOUN|crime/offense|1.00
5600	atacado		VERB|attacked|1.00
5603	sentencia		NOUN|sentence|1.00
5611	excepción		NOUN|exception|1.00
5613	engañado		VERB|deceived|1.00
5616	corporación		NOUN|corporation|1.00
5621	seca	secar	VERB|dries|1.00
5629	conviene	convenir	VERB|it suits/is convenient|1.00
5633	niñita		NOUN|little girl|1.00
5636	disciplina		NOUN|discipline|1.00
5638	arriesgado		VERB|risked|1.00
5639	arriesgado	arriesgar	VERB|risked|1.00
5640	arquitecto		NOUN|architect|1.00
5641	vaticano	Vaticano	PROPN|Vatican|1.00
5643	tiroteo		NOUN|shooting/shootout|1.00
5646	ratón		NOUN|mouse|1.00
5651	masacre		NOUN|massacre|1.00
5652	infancia		NOUN|childhood|1.00
5654	homosexual		ADJ|homosexual|0.60;NOUN|homosexual|0.40
5655	chance		NOUN|chance|1.00
5656	barba		NOUN|beard|1.00
5659	susto		NOUN|scare/fright|1.00
5660	síntomas	síntoma	NOUN|symptoms|1.00
5663	romance		NOUN|romance|1.00
5664	petición		NOUN|petition/request|1.00
5666	orinar		VERB|to urinate|1.00
5667	macho		NOUN|male|0.70;ADJ|macho|0.30
5671	profundidad		NOUN|depth|1.00
5673	permanente		ADJ|permanent|1.00
5681	tímido		ADJ|shy/timid|1.00
5682	ola		NOUN|wave|1.00
5684	diana		NOUN|bullseye|1.00
5685	diana	Diana	PROPN|Diana|1.00
5690	mona		NOUN|female monkey|1.00
5692	mm		INTJ|mm|1.00
5693	mm	milímetro	NOUN|millimeter|1.00
5694	increíblemente		ADV|incredibly|1.00
5696	comentario		NOUN|comment|1.00
5698	ramera		NOUN|whore|1.00
