,Dutch,POS,Translation
2383,reputatie,Noun,reputation
2384,teleurgesteld,Verb,disappointed
2385,letten,Verb,pay attention
2386,uniform,Noun,uniform
2387,verklaren,Verb,to declare
2388,monsters,Noun,monsters
2389,fan,Symbol,fan
2390,bruid,Adjective,bride
2391,overheid,Noun,government
2392,enterprise,Noun,enterprise
2393,gewaarschuwd,Verb,warned
2394,daarbuiten,Adverb,out there
2395,daarover,Adverb,about that
2396,leest,Verb,is reading
2397,gezondheid,Noun,health
2398,geliefde,Adjective,lover
2399,ontmoeting,Noun,meeting
2400,stinkt,Verb,smelly
2401,uiteraard,Adverb,of course
2402,makker,Adjective,buddy
2403,vanmiddag,Adverb,this afternoon
2404,aangekomen,Verb,arrived
2405,meedoen,Verb,participate
2406,minst,Conjunction,least
2407,maag,Noun,stomach
2408,route,Noun,route
2409,omgaan,Verb,to deal with
2410,hoogste,Adjective,highest
2411,verrader,Adjective,traitor
2412,indrukwekkend,Adjective,impressive
2413,mogelijkheden,Noun,possibilities
2414,Helen,Proper noun,Helen
2415,gebaseerd,Verb,based
2416,Nederlandse,Adjective,Dutch
2417,verschuldigd,Verb,owed
2418,lever,Noun,liver
2419,scheiden,Verb,to divorce
2420,sprong,Verb,jumped
2421,daarbinnen,Verb,in there
2422,wolf,Noun,Wolf
2423,whisky,Adverb,whiskey
2424,lady,Symbol,lady
2425,live,Adjective,live
2426,voldoende,Adjective,Enough
2427,onderzocht,Verb,investigated
2428,universum,Noun,universe
2429,ontzettend,Adjective,terribly
2430,gevochten,Verb,fought
2431,Marshall,Proper noun,Marshall
2432,pop,Noun,pop
2433,lijf,Symbol,body
2434,douche,Adjective,shower
2435,hieruit,Adverb,from here
2436,junior,Adjective,junior
2437,golf,Noun,golf
2438,Amerikaan,Proper noun,American
2439,kut,Preposition,pussy
2440,model,Noun,fashion model
2441,geldt,Verb,applies
2442,seizoen,Noun,season
2443,omlaag,Adverb,down
2444,nummers,Noun,numbers
2445,trainen,Verb,train
2446,mijl,Noun,miles
2447,jongeman,Noun,young man
2448,welnee,Noun,no
2449,broertje,Noun,baby brother
2450,marine,Noun,navy
2451,pakte,Verb,grabbed
2452,wandelen,Verb,to walk
2453,herstellen,Verb,to recover
2454,robot,Noun,robot
2455,ongerust,Adjective,worried
2456,vijftig,Numeral,fifty
2457,gegooid,Verb,thrown
2458,duisternis,Noun,darkness
2459,jochie,Adjective,kid
2460,hi,Pronoun,Hi
2461,hekel,Noun,hate
2462,doodgaan,Verb,die
2463,Cole,Proper noun,Cole
2464,briefje,Noun,note
2465,tweeën,Numeral,twos
2466,achteren,Adverb,behind
2467,getekend,Verb,drawn
2468,vlakbij,Preposition,nearby
2469,prettig,Adjective,pleasant
2470,teef,Verb,female dog
2471,schoten,Noun,shots
2472,eisen,Verb,to demand
2473,schrijver,Noun,writer
2474,knop,Noun,knob
2475,sigaret,Noun,cigarette
2476,smerige,Adjective,filthy
2477,reageren,Verb,comment
2478,vloek,Noun,curse
2479,achterna,Verb,after
2480,legende,Verb,legend
2481,stonden,Verb,stood
2482,ai,Preposition,oh
2483,banden,Noun,tyres
2484,branden,Verb,to burn
2485,aangenomen,Verb,accepted
2486,nul,Numeral,zero
2487,borsten,Noun,breasts
2488,Miles,Proper noun,Miles
2489,hierover,Adverb,about this
2490,bovenop,Preposition,on top of
2491,vampier,Noun,vampire
2492,overeenkomst,Noun,agreement
2493,brave,Adjective,good
2494,optreden,Verb,performance
2495,brak,Verb,broke
2496,gesteld,Verb,stated
2497,vuil,Adjective,filthy
2498,dinsdag,Proper noun,Tuesday
2499,vergat,Noun,forgot
