,Dutch,POS,Translation
2154,tegelijk,Adverb,at the same time
2155,knappe,Noun,handsome
2156,woede,Noun,fury
2157,leefde,Verb,lived
2158,nat,Adjective,wet
2159,jury,Noun,jury
2160,groeien,Verb,to grow
2161,wezens,Noun,creatures
2162,russen,Proper noun,russians
2163,morgenochtend,Adverb,tomorrow morning
2164,wegens,Preposition,due to
2165,kampioen,Noun,champion
2166,loog,Adjective,lied
2167,accepteren,Verb,accept
2168,studeren,Verb,to study
2169,behandeld,Verb,treated
2170,tieten,Noun,tits
2171,ernaar,Adverb,to it
2172,stopte,Verb,stopped
2173,vormen,Verb,forms
2174,grotere,Adjective,larger ones
2175,gedag,Adverb,hello
2176,kist,Noun,chest
2177,ruil,Noun,exchange
2178,engel,Noun,angel
2179,Edward,Proper noun,Edward
2180,gods,Proper noun,gods
2181,bril,Noun,glasses
2182,keel,Noun,throat
2183,lef,Noun,courage
2184,ervandoor,Adverb,away
2185,lichten,Noun,lights
2186,medelijden,Noun,pity
2187,tel,Other,tel
2188,rijke,Adjective,rich
2189,tunnel,Noun,tunnel
2190,haten,Noun,hate
2191,afgesloten,Verb,closed
2192,opzoeken,Verb,to look up
2193,hal,Noun,hall
2194,terugkomt,Verb,comes back
2195,slimme,Adjective,smart
2196,wedden,Noun,bet
2197,lichamen,Noun,bodies
2198,handel,Noun,trade
2199,huizen,Noun,houses
2200,dief,Noun,thief
2201,moordenaars,Noun,murderers
2202,hoogheid,Noun,your highness
2203,poging,Noun,attempt
2204,Jesse,Noun,Jesse
2205,materiaal,Noun,material
2206,toestand,Noun,status
2207,amper,Adverb,barely
2208,voorlopig,Adjective,provisional
2209,veilige,Adjective,safe
2210,verloofde,Verb,fiance
2211,daarin,Adverb,in there
2212,slet,Noun,slut
2213,Texas,Proper noun,Texas
2214,oefenen,Verb,to practice
2215,Franse,Adjective,French
2216,woonde,Verb,lived
2217,prettige,Adjective,pleasant
2218,voordeel,Noun,benefit
2219,eindigt,Verb,ends
2220,vliegt,Verb,flies
2221,verdediging,Noun,defense
2222,vanochtend,Adverb,this morning
2223,zielig,Adjective,pathetic
2224,Wilson,Proper noun,Wilson
2225,woestijn,Noun,desert
2226,apparaat,Noun,device
2227,rat,Verb,rat
2228,kocht,Verb,bought
2229,lossen,Verb,unload
2230,diner,Noun,dinner
2231,cliënt,Noun,client
2232,feite,Noun,fact
2233,verkoopt,Verb,sells
2234,idioten,Verb,idiots
2235,komende,Verb,coming
2236,plegen,Verb,commit
2237,kaartje,Noun,card
2238,-ste,Symbol,-st
2239,dier,Noun,animal
2240,waarschuwing,Noun,warning
2241,verbinding,Noun,link
2242,dichter,Noun,poet
2243,wijze,Noun,manner
2244,pensioen,Noun,pension
2245,Afrika,Proper noun,Africa
2246,winnaar,Noun,winner
2247,drinkt,Verb,drinks
2248,scheelt,Verb,makes a difference
2249,doodde,Verb,killed
