,Unnamed: 0,Dutch,POS,Translation,ChatGPT_Sentence
73,1073,paard,Noun,horse,"Het paard heeft veel energie en een diepe adem.
The horse has a lot of energy and a deep breath."
74,1074,winkel,Noun,store,"De vuile winkel wordt goed gehouden.
The dirty shop is well maintained."
75,1075,warm,Adjective,hot,"De rechter draagt een warm pak tijdens de deal.
The judge wears a warm suit during the deal."
76,1076,ex,Symbol,ex,"Mijn ex heeft een steen door het raam gegooid en nu liggen er overal scherven op de grond.

My ex threw a stone through the window and now there are shards all over the ground."
77,1077,moeite,Noun,trouble,"Het kostte me moeite om in het donker mijn nek niet te bezeren.
It took me effort to not hurt my neck in the dark."
78,1078,camera,Noun,camera,"De camera viel na een kilometer tijdens mijn beurt.  
The camera fell after a kilometer during my turn."
79,1079,tijdje,Noun,while,"Ik heb een tijdje met oma in de club gezeten.
I spent a while with grandma in the club."
80,1080,interessant,Adjective,interesting,"De meiden vonden het boek interessant maar waren bezorgd over het einde.
The girls found the book interesting but were worried about the ending."
81,1081,geheime,Adjective,secret,"De zwangere vrouw had geheime pijn in haar voeten.
The pregnant woman had secret pain in her feet."
82,1082,hoeven,Verb,hooves,"Ik hoef geen operatie om levend te blijven.
I don't need an operation to stay alive."
83,1083,feestje,Noun,party,"Mijn partner betaalt de rekening voor het feestje.
My partner pays the bill for the party."
84,1084,persoonlijk,Adjective,personal,"De persoonlijke club heeft een dak.

The personal club has a roof."
85,1085,gedownload,Noun,downloaded,"Ik heb een gedownload van tien kilometer voordat ik moest weggaan.
I have a download of ten kilometers before I had to leave."
86,1086,vrede,Noun,peace,"De moeite is geschreven voor vrede.  
The effort is written for peace."
87,1087,lot,Noun,lot,"De sergeant vertelde ons over het lot van verschillende soldaten.  
The sergeant told us about the fate of various soldiers."
88,1088,keus,Noun,choice,"Mijn keus is om te zingen.
My choice is to sing."
89,1089,bus,Noun,bus,"De bus trok de aandacht van negentig procent van de mensen.

The bus drew the attention of ninety percent of the people."
90,1090,club,Noun,club,"Ik heb laatst mijn spul in de club laten liggen.  
I recently left my stuff in the club."
91,1091,gevecht,Noun,fight,"De rechter had moeite met het gevecht.  
The judge had trouble with the fight."
92,1092,weggaan,Adverb,leave,"Ik moet een beslissing nemen om weg te gaan en uit het raam te kijken.
I have to make a decision to leave and look out the window."
93,1093,daarvan,Adverb,of them,"Ik heb het boek gelezen en daarvan genoten.

I read the book and enjoyed it."
94,1094,brief,Noun,letter,"De sheriff stuurde een brief over de veiligheid.

The sheriff sent a letter about the safety."
95,1095,lastig,Adjective,annoying,"Het is lastig om plannen te maken als je agenda volgepakt is.
It is difficult to make plans when your schedule is packed."
96,1096,raam,Noun,window,"De kat slaat tegen het raam om te ontsnappen.  
The cat hits the window to escape."
97,1097,levend,Verb,living,"In Dutch, the word 'levend' is typically used as an adjective meaning 'alive' rather than a verb. However, I can create a sentence using the words 'uitleggen' (to explain) and 'ma' (mom"
98,1098,professor,Noun,professor,"De professor heeft een geheime en speciale opdracht.  
The professor has a secret and special assignment."
99,1099,kiezen,Verb,to elect,"Ik moet een deal kiezen met tien procent korting.
I have to choose a deal with ten percent discount."
100,1100,liep,Verb,walked,"De man die een hoed draagt, liep met een gebroken been.  
The man who wears a hat, walked with a broken leg."
101,1101,vonden,Verb,found,"De gasten vonden de deur gesloten.
The guests found the door closed."
102,1102,hangt,Verb,hangs,"De foto hangt volledig aan de muur en vertelt de geschiedenis.  
The photo hangs fully on the wall and tells the history."
103,1103,sluiten,Verb,Close,"Je hoeft de deur niet te sluiten, het slachtoffer komt binnen.  
You don't need to close the door, the victim is coming in."
104,1104,verdienen,Verb,to deserve,"De zwanger vrouw verdient een bom aan geld.

The pregnant woman earns a lot of money."
105,1105,helft,Noun,half,"De helft van de vijand is al verslagen, dat is vijftig procent.

Half of the enemy is already defeated, that is fifty percent."
106,1106,teveel,Adverb,too many,"Hij verloor zijn adem omdat hij teveel draaide.  
He lost his breath because he spun too much."
107,1107,leeg,Adjective,empty,"De schoenen van het volk zijn leeg.
The shoes of the people are empty."
108,1108,bleef,Verb,Remained,"De man bleef wachten bij de belt waarop hij stond.  
The man kept waiting by the mound on which he stood."
109,1109,heerlijk,Adjective,Delicious,"Mijn partner maakte een speciaal en heerlijk diner.

My partner made a special and delicious dinner."
110,1110,eraf,Adverb,off,"Ik heb speciaal toestemming nodig om het etiket eraf te halen.
I need special permission to take the label off."
111,1111,gelukt,Verb,success,"Het is gelukt om het geweer te repareren zonder teveel moeite.
It succeeded to repair the gun without too much effort."
112,1112,helaas,Adverb,unfortunately,"Helaas hebben we beiden de verkeerde bestanden gedownload.
Unfortunately, we both downloaded the wrong files."
113,1113,stelen,Verb,to steal,"De dieven zaten samen met hun partner te stelen.

The thieves were sitting together with their partner stealing."
114,1114,benen,Noun,legs,"De gast heeft sterke benen, zei de kapitein.  
The guest has strong legs, said the captain."
115,1115,gezet,Verb,put,"Ik heb de tafel gezet, want het bestaan is kort.  
I have set the table, because existence is short."
116,1116,bekijken,Verb,to look at,"Ik bekijk de beurt met veel aandacht.
I watch the turn with a lot of attention."
117,1117,boodschap,Noun,errand,"Ik heb een boodschap geschreven over het gebied.

I have written a message about the area."
118,1118,eikel,Noun,jerk,"De eikel viel op de grond naast het vlees, dus ik had geen keus.

The acorn fell on the ground next to the meat, so I had no choice."
119,1119,lift,Noun,elevator,"De lift maakt het verschil en wordt regelmatig geregeld.
The elevator makes the difference and is regularly maintained."
120,1120,been,Noun,leg,"Ik heb de helft van mijn been teveel belast.
I have overstrained half of my leg."
121,1121,gekocht,Verb,purchased,"Ik heb besloten op te houden met twijfelen en heb de beste keus gekocht.
I have decided to stop doubting and bought the best choice."
122,1122,boeken,Noun,books,"Ma leest boeken over de koningin.
My mom reads books about the queen."
123,1123,groter,Adjective,taller,"De grotere stad heeft een zul volk.  
The larger city has such a population."
124,1124,opschieten,Noun,Hurry up,"De eikel maakte een foto van het opschieten met zijn camera.
The acorn took a picture of the hurry with his camera."
125,1125,gevallen,Noun,fallen,"De belachelijk gevallen lagen in de richting van het park.  
The ridiculous falls were in the direction of the park."
126,1126,donker,Adjective,dark,"De gewonde man deed niets in het donkere bos.
The injured man did nothing in the dark forest."
127,1127,rechts,Adjective,right,"De ontsnapte dief werd snel gepakt door de rechts agent.
The escaped thief was quickly caught by the right officer."
128,1128,aandacht,Noun,attention,"De commandant vroeg om aandacht tijdens het eten van vlees.
The commander asked for attention while eating meat."
129,1129,slaat,Verb,hit,"De jongen slaat de geheime deur die ze vonden.
The boy hits the secret door they found."
130,1130,ophouden,Verb,to hold up,"De politie vroeg de verdachte om op te houden met het lastigvallen van het slachtoffer na de zelfmoord.

The police asked the suspect to stop harassing the victim after the suicide."
131,1131,drink,Noun,drink,"Het monster drinkt een drankje aan het eind van de dag.
The monster drinks a drink at the end of the day."
132,1132,slag,Noun,battle,"De camera heeft de neergeschoten vogel in één slag vastgelegd.
The camera captured the shot-down bird in one stroke."
133,1133,vannacht,Adverb,tonight,"De stoel is vannacht verdwenen.
The chair disappeared last night."
134,1134,gehaald,Verb,fetched,"Hij kende de eikel en heeft hem gehaald.
He knew the acorn and has fetched it."
135,1135,speciaal,Adjective,special,"De brand heeft het speciale huis vernietigd.
The fire destroyed the special house."
136,1136,meegenomen,Verb,brought,"Ik heb mijn camera meegenomen om de natuur te bekijken en te bewegen.

I brought my camera to observe nature and move around."
137,1137,koningin,Noun,queen,"De koningin moet opschieten, hopelijk komt ze op tijd.

The queen needs to hurry, hopefully she arrives on time."
138,1138,godsnaam,Noun,God sake,"In godsnaam, waarom is de interessante winkel gesloten?

In God's name, why is the interesting store closed?"
139,1139,speciale,Adjective,special one,"De speciale aandacht voor het feestje was geweldig.
The special attention for the party was amazing."
140,1140,test,Noun,test,"De test was een lot uit de loterij.

The test was a lottery ticket."
141,1141,geschiedenis,Noun,history,"De geschiedenis van de oude bus werd verkocht.

The history of the old bus was sold."
142,1142,volledig,Adjective,complete,"De trein was volledig vol, dus we moesten haast maken.

The train was completely full, so we had to hurry."
143,1143,zulke,Determiner,such,"Zulke vreemde zon zie je niet vaak.

You don't often see such a strange sun."
144,1144,raakt,Verb,hits,"De batterij raakt twintig procent donker.

The battery becomes twenty percent dark."
145,1145,adres,Noun,address,"Het adres van het lege huis is interessant.

The address of the empty house is interesting."
146,1146,alweer,Adverb,again,"De meiden gaan alweer uit dit weekend.
The girls are going out again this weekend."
147,1147,meestal,Adverb,generally,"Meestal bewegen we ons naar de bar.

Usually, we move to the bar."
148,1148,park,Noun,park,"Ik heb een boek gelezen in het park en veel nieuwe dingen ontdekt.
I read a book in the park and discovered many new things."
149,1149,regering,Noun,government,"De regering organiseerde een feestje waarop iedereen welkom was.
The government organized a party where everyone was welcome."
150,1150,ouwe,Adjective,old,"De bezorgde ouwe man heeft de wedstrijd gewonnen.
The worried old man has won the match."
151,1151,bestaan,Verb,to exist,"De mensen kunnen kiezen om in dit gebied te bestaan.
The people can choose to exist in this area."
152,1152,sheriff,Symbol,sheriff,"Uiteindelijk keek de sheriff naar de horizon.

Eventually, the sheriff looked at the horizon."
153,1153,dak,Noun,roof,"Het paard staat op het dak in de vertaling.  
The horse is on the roof in the translation."
154,1154,zwanger,Adjective,pregnant,"De vrouw die met de kinderen speel is zwanger, maar ze voelt zich niet kwalijk.

The woman who plays with the children is pregnant, but she doesn't feel unwell."
155,1155,gehouden,Verb,held,"Ik heb de radio aan gehouden terwijl ik een draai maakte.

I kept the radio on while I made a turn."
156,1156,zelfmoord,Noun,suicide,"De knap man pleegde zelfmoord door een glas te breken.

The handsome man committed suicide by breaking a glass."
157,1157,vreemde,Adjective,stranger,"De vreemde man kon goed opschieten met iedereen en bleef levend in onze herinneringen.
The strange man got along well with everyone and remained alive in our memories."
158,1158,hopelijk,Adjective,hopefully,"Hopelijk kan de professor de kilometer lopen.  
Hopefully, the professor can walk the kilometer."
159,1159,adem,Noun,breath,"Hij nam een diepe adem en zette zijn been in beweging voor de volgende beurt.
He took a deep breath and moved his leg for the next turn."
160,1160,vernietigen,Verb,destroy,"De brand heeft de winkel volledig vernietigd, en nu lijkt het op een ruïne.
The fire completely destroyed the store, and now it looks like a ruin."
161,1161,betrokken,Verb,concerned,"Hij bracht meestal de mensen samen en betrokken hen bij het project.
He usually brought people together and involved them in the project."
162,1162,betaal,Noun,pay,"Het duurt een tijdje om het gebied te verkennen voordat de betaal wordt gedaan.
It takes a while to explore the area before the payment is made."
163,1163,koop,Noun,buy,"De koop ging niet door vanwege mijn ex.  
The purchase did not go through because of my ex."
164,1164,nek,Noun,neck,"De nek van de kat heeft een klein gat, maar het maakt geen verschil.
The neck of the cat has a small hole, but it makes no difference."
165,1165,brug,Noun,bridge,"De held liep over de grotere brug.
The hero walked over the bigger bridge."
166,1166,bezoek,Noun,visit,"Ik heb een nieuw museum ontdekt tijdens mijn bezoek dat al lang bestaat.
I discovered a new museum during my visit that has existed for a long time."
167,1167,belt,Verb,calls,"Hij belt daarvan met het spul.  
He calls about that with the stuff."
168,1168,kwalijk,Adjective,bad,"De geschiedenis van het monster is kwalijk.

The history of the monster is bad."
169,1169,ongelooflijk,Adjective,unbelievable,"De ongelooflijke brief was groter dan ik had verwacht.
The unbelievable letter was bigger than I had expected."
170,1170,bar,Noun,bar,"Hij verloor zijn belt in de bar bij het spoor.  
He lost his belt in the bar by the tracks."
171,1171,ijs,Noun,ice,"Ik eet ijs op mijn verjaardag bij de zee.
I eat ice cream on my birthday by the sea."
172,1172,overleven,Verb,to survive,"De sheriff leest een boek over hoe te overleven in het wild.  
The sheriff reads a book about how to survive in the wild."
173,1173,beiden,Pronoun,both,"Beiden van ons zitten op de stoel en krijgen tien procent korting.
Both of us are sitting on the chair and get ten percent discount."
174,1174,meenemen,Verb,take,"Ik moet de gewonde kat meenemen, verdorie.

I have to take the injured cat with me, darn it."
175,1175,gestorven,Verb,died,"De oude man liep langzaam, maar hij is gestorven voordat hij zijn voeten kon rusten.

The old man walked slowly, but he died before he could rest his feet."
176,1176,ontslagen,Verb,dismissed,"Een aantal rijke mensen zijn onlangs ontslagen.
A number of rich people were recently fired."
177,1177,aantal,Noun,number,"In een kort gesprek, vertelde mijn partner het aantal deelnemers.

In a short conversation, my partner told the number of participants."
178,1178,vuile,Proper noun,dirty,"Vuile heeft een tijdje met het volk gepraat.  
Vuile has talked with the people for a while."
179,1179,geweer,Noun,rifle,"De tas bevat een mes en een geweer.  
The bag contains a knife and a gun."
180,1180,beurt,Noun,turn,"Het is jouw beurt om dichtbij de waarheid te liegen.  
It is your turn to lie close to the truth."
181,1181,werkelijk,Adjective,really,"Het lot van de drink is werkelijk slecht.

The fate of the drink is truly bad."
182,1182,dichtbij,Adjective,close to,"Het gevecht om het vlees was dichtbij.  
The fight for the meat was close."
183,1183,zwart,Adjective,black,"De persoonlijke auto haalt de zwarte kat op.

The personal car picks up the black cat."
184,1184,laatst,Adjective,last,"De laatste wedstrijd eindigde in een verlies, en mijn voeten doen nog steeds pijn.

The last match ended in a loss, and my feet still hurt."
185,1185,liegt,Verb,lies,"De jongen liegt over het gat in zijn voet.
The boy lies about the hole in his foot."
186,1186,voeten,Noun,feet,"Ik zal meestal uitleggen hoe je je voeten moet wassen.
I will usually explain how to wash your feet."
187,1187,lees,Verb,read,"Ik lees een boek terwijl ik aan de deal denk die ervan afhangt.
I read a book while thinking about the deal that depends on it."
188,1188,wisten,Verb,knew,"We wisten niet waar we het boek hadden gevonden dat geschreven was.

We did not know where we had found the book that was written."
189,1189,zingen,Verb,to sing,"De man zingt een lied over zelfmoord en het raakt iedereen.

The man sings a song about suicide and it touches everyone."
190,1190,toestemming,Noun,permission,"Ik heb toestemming nodig om het adres en de code te gebruiken.
I need permission to use the address and the code."
191,1191,gestopt,Verb,stopped,"De dode is gestopt, welterusten.

The dead has stopped, goodnight."
192,1192,zaten,Verb,sat,"De kinderen zaten te spelen met de code, maar het was kwalijk.

The children were playing with the code, but it was harmful."
193,1193,kort,Adjective,short,"De regering is dichtbij en de vergadering is kort.
The government is nearby and the meeting is short."
194,1194,gepakt,Verb,caught,"De rijke man heeft de bom gepakt.
The rich man has grabbed the bomb."
195,1195,knap,Adjective,good looking,"De knappe commandant besloot weg te gaan.
The handsome commander decided to leave."
196,1196,waarop,Adverb,on which,"Ach, ik weet niet waarop het huis verkocht is.  
Oh, I don't know what the house was sold on."
197,1197,betere,Adjective,better,"De betere kennis van de dode taal helpt veel.

The better knowledge of the dead language helps a lot."
198,1198,ontdekt,Verb,discovers,"De leraar heeft tijdens de les een nieuw glas ontdekt.
The teacher discovered a new glass during the lesson."
199,1199,doorgaan,Verb,Get on,"De veiligheid moet doorgaan, zelfs als iemand gestorven is.
The safety must continue, even if someone has died."
200,1200,vlees,Noun,meat,"Het volk zeiden dat het vlees lekker was.
The people said that the meat was tasty."
201,1201,richting,Noun,direction,"Hij keek naar de muur in de richting van het park.
He looked at the wall in the direction of the park."
202,1202,ruzie,Noun,row,"Ze deden ruzie en nu hangt er spanning in de lucht.
They had a quarrel and now there is tension in the air."
203,1203,verdient,Verb,deserves,"Hij verdient nieuwe schoenen omdat hij gewond is.

He deserves new shoes because he is injured."
204,1204,gesloten,Verb,Closed,"De les is gezet en de deur is gesloten.
The lesson is set and the door is closed."
205,1205,welterusten,Noun,Good night,"De boom zei welterusten en we moesten opschieten.  
The tree said goodnight and we had to hurry."
206,1206,belachelijk,Adjective,ridiculous,"De belachelijk hoge prijs verstoorde de vrede.

The ridiculously high price disturbed the peace."
207,1207,rekening,Noun,account,"Ik heb de rekening betaald nadat ik een drankje in de club heb gekocht.
I paid the bill after I bought a drink in the club."
208,1208,verdorie,Noun,damn,"Verdorie, het paard heeft de boodschap niet begrepen.

Darn, the horse did not understand the message."
209,1209,ach,Symbol,oh well,"Ach, dit systeem is lastig.
Oh, this system is difficult."
210,1210,monster,Noun,sample,"De knul zag een zwart monster.  
The boy saw a black monster."
211,1211,verrassing,Noun,surprise,"De gast belt over de verrassing.
The guest calls about the surprise."
212,1212,rechter,Noun,right,"De rechter zegt dat de man liegt over wat er in het donker gebeurde.
The judge says that the man is lying about what happened in the dark."
213,1213,ontsnappen,Verb,escape,"Ik heb een boek gelezen waarop de hoofdpersoon probeert te ontsnappen.

I read a book in which the main character tries to escape."
214,1214,gasten,Noun,guests,"De gasten vonden zijn broek heel interessant.
The guests found his pants very interesting."
215,1215,radio,Noun,radio,"Mijn opa is gestorven, maar ik heb zijn favoriete liedjes gedownload en luister naar ze op de radio.
My grandfather has passed away, but I downloaded his favorite songs and listen to them on the radio."
216,1216,energie,Noun,energy,"De eikel heeft veel energie daarvan.  
The acorn has a lot of energy from that."
217,1217,kennis,Noun,knowledge,"De bibliotheek was gesloten, dus ik keek online voor kennis.
The library was closed, so I looked online for knowledge."
218,1218,verlies,Noun,loss,"Het monster toonde een verlies van tien procent.
The sample showed a loss of ten percent."
219,1219,verschillende,Adjective,various,"De basis van het probleem heeft verschillende klote aspecten.
The basis of the problem has various shitty aspects."
220,1220,tas,Noun,bag,"De tas is de basis om te ontsnappen.  
The bag is the basis to escape."
221,1221,veiligheid,Noun,safety,"De veiligheid kan vernietigen als mensen liegen.  
Safety can be destroyed if people lie."
222,1222,draagt,Verb,wears,"De gewonde man draagt beide tassen.
The injured man carries both bags."
223,1223,enig,Determiner,any,"Zeiden ze iets over enig schilderij aan de muur?
Did they say anything about any painting on the wall?"
224,1224,voet,Noun,foot,"Ik heb een glas water laten vallen en het brak op mijn voet.
I dropped a glass of water and it broke on my foot."
225,1225,weekend,Noun,weekend,"In het weekend gaan we beiden naar de grotere markt.  
In the weekend, we both go to the bigger market."
226,1226,haalt,Verb,fetches,"Hij haalt alweer moeite met zijn huiswerk.  
He is having trouble with his homework again."
227,1227,wijn,Noun,wine,"De rechter heeft kennis van goede wijn.
The judge has knowledge of good wine."
228,1228,verschil,Noun,difference,"Het verschil in de beslissing maakte een grote draai.

The difference in the decision made a big turn."
229,1229,verkocht,Verb,sold,"De man verkocht zijn oude raam en gebruikte het geld om een nieuwe lift te kopen.
The man sold his old window and used the money to buy a new elevator."
230,1230,stoel,Noun,chair,"De kalme man zit op de stoel onder de boom.
The calm man sits on the chair under the tree."
231,1231,commandant,Noun,commander,"De commandant is de betere leider daarvan.
The commander is the better leader of that."
232,1232,gat,Noun,hole,"Mijn zuster vond een gat in haar boek tijdens de les.
My sister found a hole in her book during the lesson."
233,1233,mes,Noun,knife,"Ik sluit de lade en betaal voor het mes.
I close the drawer and pay for the knife."
234,1234,beslissing,Noun,decision,"Hij kende de juiste beslissing en ging ervoor.

He knew the right decision and went for it."
235,1235,boom,Noun,tree,"De boom heeft veel energie meegenomen.  
The tree has brought a lot of energy."
236,1236,glas,Noun,glass,"De gasten drinken een glas wijn.

The guests drink a glass of wine."
237,1237,basis,Noun,base,"De basis van het diepe gevecht is vertrouwen.
The basis of the deep fight is trust."
238,1238,schrijf,Noun,write,"De held gaf een duidelijke uitleg over het schrijf.  
The hero gave a clear explanation about the writing."
239,1239,reet,Adjective,ass,"In Dutch: De bom aan boord was reet gevaarlijk.

In English: The bomb on board was really dangerous."
240,1240,knul,Symbol,boy,"De knul en ik vonden de trein leuk.
The boy and I found the train nice."
241,1241,captain,Symbol,captain,"De kapitein verdient respect voor zijn voeten.  
The captain deserves respect for his feet."
242,1242,der,Determiner,der,"Der zuster maakte de beslissing.

The sister made the decision."
243,1243,verjaardag,Noun,birthday,"De kapitein viert zijn verjaardag op het schip.

The captain celebrates his birthday on the ship."
244,1244,geregeld,Verb,organized,"Ik heb de moeite geregeld en het rapport geschreven.  
I have arranged the effort and written the report."
