rank	word	lemma
6396	ordenar	
6395	presta	prestar
6394	sabré	saber
6391	saudita	Arabia
6387	cuentan	contar
6386	divertirnos	divertir
6385	estadounidenses	estadounidense
6384	metieron	meter
6382	papito	papá
6380	saludar	
6378	avísame	avisar
6376	dejarlos	dejar
6374	manejarlo	manejar
6372	mentiste	mentir
6371	ofrezco	ofrecer
6368	término	
6364	cometí	cometer
6362	enfadada	enfadar
6361	enfadada	enfadado
6360	exámenes	examen
6359	herir	
6358	interesantes	interesante
6357	manzanas	manzana
6355	piden	pedir
6354	vías	vía
6353	vivió	vivir
6351	asegurarnos	asegurar
6349	bromeo	bromear
6348	cheques	cheque
6346	controlado	controlar
6344	dámela	dar
6342	generaciones	generación
6339	oculto	ocultar
6338	oculto	
6337	recibirá	recibir
6336	regresamos	regresar
6335	seguida	seguir
6334	seguida	seguido
6332	seguida	en
6331	sucios	sucio
6328	túneles	túnel
6324	arriesgar	
6323	atreve	atrever
6322	culpar	
6321	debas	deber
6320	disfrutando	disfrutar
6319	fumando	fumar
6315	papás	papá
6313	podia	poder
6310	tardará	tardar
6309	trataron	tratar
6307	duermes	dormir
6301	islas	isla
6297	cumple	cumplir
6295	estuviese	estar
6294	explicaré	explicar
6292	interesada	interesar
6291	interesada	interesado
6287	quitaron	quitar
6286	rompiste	romper
6284	usen	usar
6279	corazon	corazón
6278	entregado	entregar
6276	envíen	enviar
6271	pondrás	poner
6270	prostitutas	prostituta
6269	sacarle	sacar
6267	suéltenme	soltar
6266	temen	temer
6264	amiguito	amigo
6262	ayudes	ayudar
6259	demos	dar
6258	despedirme	despedir
6257	escribo	escribir
6255	honesta	honesto
6254	identificado	identificar
6251	negras	negro
6250	respirando	respirar
6247	soñado	soñar
6244	baños	baño
6241	cobardes	cobarde
6240	considero	considerar
6239	echó	echar
6237	entienda	entender
6235	llamarla	llamar
6234	matara	matar
6233	mentido	mentir
6227	rebelde	
6226	reconocer	reconocer
6225	retrocede	retroceder
6224	sentirlo	sentir
6223	uniformes	uniforme
6222	amables	amable
6221	aves	ave
6219	espías	espía
6218	estes	estar
6217	filas	fila
6214	pais	país
6213	quedaría	quedar
6212	resuelto	resolver
6210	sácalo	sacar
6206	bebo	beber
6205	comencemos	comenzar
6204	culpo	culpar
6203	debías	deber
6197	mande	mandar
6196	observar	observar
6193	alturas	altura
6191	avanzada	avanzar
6189	bolsillos	bolsillo
6186	griego	
6182	usaste	usar
6179	bajó	bajar
6178	blancas	blanco
6176	duermo	dormir
6174	pensaría	pensar
6170	cometa	cometer
6168	conozcas	conocer
6166	distintas	distinto
6165	encontrarnos	encontrar
6164	fuéramos	ser
6163	fuéramos	ir
6161	informar	
6160	intentes	intentar
6159	llenos	lleno
6158	mantenerte	mantener
6157	mapas	mapa
6156	ondas	onda
6155	pegar	
6154	perderé	perder
6153	póngase	poner
6152	sentirte	sentir
6149	bata	batir
6147	bebido	beber
6146	bebido	
6145	camaradas	camarada
6141	echaré	echar
6139	encantará	encantar
6138	encantó	encantar
6136	jugado	jugar
6135	lea	leer
6133	quitó	quitar
6127	admito	admitir
6125	busquemos	buscar
6124	créame	creer
6123	darás	dar
6121	llamaban	llamar
6120	merecen	merecer
6119	mierdas	mierda
6118	presentes	presentar
6117	presentes	presente
6116	sentar	
6115	usé	usar
6114	contratado	contratar
6112	deberes	deber
6111	directa	directo
6110	esfuerzos	esfuerzo
6108	harta	hartar
6107	harta	harto
6105	increíbles	increíble
6104	justa	justo
6103	mantienen	mantener
6101	mutante	
6100	necesitarás	necesitar
6099	ocasiones	ocasión
6098	preocupados	preocupar
6097	preocupados	preocupado
6096	sobrevivió	sobrevivir
6090	cambiaron	cambiar
6089	conocías	conocer
6088	deseaba	desear
6087	disfruten	disfrutar
6086	encendido	encender
6083	firmado	firmar
6081	hamburguesas	hamburguesa
6080	hermanito	hermano
6078	llegarán	llegar
6077	locas	loco
6076	oímos	oír
6075	pesada	pesar
6074	pesada	pesado
6073	rescatar	
6070	arregla	arreglar
6069	bendito	bendecir
6067	entendemos	entender
6066	existir	
6065	malvada	malvado
6061	preocupo	preocupar
6059	retirada	retirar
6058	retirada	retirado
6057	retírense	retirar
6055	sagrada	sagrado
6053	avanzando	avanzar
6052	bárbara	bárbaro
6051	cables	cable
6050	camas	cama
6049	déjanos	dejar
6048	descanse	descansar
6047	durará	durar
6045	estupideces	estupidez
6044	estuvieran	estar
6042	jovencito	joven
6038	valientes	valiente
6037	alcanza	alcanzar
6036	arreglaré	arreglar
6035	chistes	chiste
6034	costará	costar
6032	déjate	dejar
6031	esclavo	
6029	falló	fallar
6027	paró	parar
6022	asesinados	asesinar
6021	asesinados	asesinado
6019	cobrar	
6018	creías	creer
6017	debieron	deber
6016	entraste	entrar
6015	envíe	enviar
6014	grita	gritar
6011	piratas	pirata
6010	queden	quedar
6008	sentiría	sentir
6003	controles	control
6002	controles	controlar
6001	encuentres	encontrar
6000	engañando	engañar
5997	torres	torre
5996	traseros	trasero
5995	unido	unir
5994	unido	
5993	andan	andar
5991	desgraciados	desgraciar
5990	desgraciados	desgraciado
5989	giro	girar
5987	hueles	oler
5986	ida	ir
5984	interesan	interesar
5981	quedaremos	quedar
5980	traerá	traer
5977	bájate	bajar
5975	consiga	conseguir
5974	costo	costar
5972	creerme	creer
5971	disfrute	disfrutar
5968	hechas	hacer
5967	hechas	hecho
5965	trates	tratar
5964	uses	usar
5962	batallas	batalla
5959	consigues	conseguir
5957	encontrarte	encontrar
5956	enseñado	enseñar
5954	grito	gritar
5953	grito	
5952	juegues	jugar
5951	pásame	pasar
5948	subió	subir
5947	anillos	anillo
5945	escucharon	escuchar
5944	galleta	
5943	hermosos	hermoso
5942	placas	placa
5941	retrasado	retrasar
5939	salvarlo	salvar
5934	contratar	
5933	excusas	excusar
5932	excusas	excusa
5930	mágico	
5929	pueblos	pueblo
5928	sacarme	sacar
5927	advertí	advertir
5924	asesinada	asesinar
5923	asesinada	asesinado
5922	despidieron	despedir
5921	dispares	disparar
5920	estaciones	estación
5918	locales	local
5917	olvidarlo	olvidar
5915	parejas	pareja
5914	promesas	promesa
5913	quemado	quemar
5911	raros	raro
5908	vivas	vivir
5905	compraré	comprar
5904	contentos	contento
5900	menores	menor
5898	usaba	usar
5897	atacan	atacar
5895	compro	comprar
5894	distinta	distinto
5893	encender	
5890	pagando	pagar
5889	preocupas	preocupar
5888	responsabilidades	responsabilidad
5885	usarla	usar
5884	cazadores	cazador
5882	ésos	ese
5879	meterme	meter
5875	odiaba	odiar
5873	ayudaría	ayudar
5869	dispuesta	disponer
5868	dispuesta	dispuesto
5867	lees	leer
5866	personajes	personaje
5865	pida	pedir
5864	reuniones	reunión
5860	vió	ver
5859	acercando	acercar
5858	aléjense	alejar
5857	causó	causar
5853	marchar	
5852	miró	mirar
5850	mordida	morder
5847	oyendo	oír
5846	preguntarme	preguntar
5800	rehén	
5766	confirmar	
5715	resistir	
5695	despegar	
5689	nacer	
5662	sabio	
5653	indio	
5623	pescar	
5587	esconder	
5580	beneficio	
5572	ofrecer	
5535	asesinar	
5489	despedir	
5485	golpeado	golpear
5484	habrás	haber
5477	vinieras	venir
5475	asustaste	asustar
5474	dí	dar
5470	mientes	mentir
5469	ocurrirá	ocurrir
5468	pechos	pecho
5465	probarlo	probar
5464	vestida	vestir
5463	vestida	vestido
5460	abandonó	abandonar
5456	pudieran	poder
5455	reconoces	reconocer
5454	retirado	retirar
5452	sexuales	sexual
5451	suéltala	soltar
5448	vendido	vender
5444	cintas	cinta
5441	creído	creer
5439	danos	dar
5438	largos	largo
5437	paro	parar
5433	verdes	verde
5430	empresas	empresa
5429	moriré	morir
5425	recuerdan	recordar
5424	contaste	contar
5423	cortes	cortar
5422	cortes	corte
5421	enfermos	enfermo
5420	enseñarle	enseñar
5417	tareas	tarea
5416	votos	voto
5415	acabaron	acabar
5413	cálmense	calmar
5412	deténganse	detener
5411	edificios	edificio
5410	experimentos	experimento
5408	huyendo	huir
5407	imbéciles	imbécil
5405	actos	acto
5402	borracha	borracho
5401	continua	continuar
5399	creciendo	crecer
5396	durmió	dormir
5393	pedimos	pedir
5392	reconoce	reconocer
5389	cogido	coger
5384	pierden	perder
5382	alejado	alejar
5379	cambiará	cambiar
5378	decírmelo	decir
5377	despertó	despertar
5376	detenerme	detener
5374	misil	
5370	temes	temer
5369	terribles	terrible
5367	hada	
5366	hombros	hombro
5365	morirán	morir
5363	trabajó	trabajar
5358	divertida	divertir
5357	divertida	divertido
5355	explicarlo	explicar
5354	jodiendo	joder
5353	manejo	manejar
5351	muchachas	muchacha
5346	cañones	cañón
5345	hubiéramos	haber
5341	pesa	pesar
5339	podrias	poder
5337	suele	soler
5336	vestidos	vestido
5335	actividades	actividad
5333	importaba	importar
5332	ofreció	ofrecer
5331	oler	
5329	quisiste	querer
5328	comidas	comer
5327	comidas	comido
5326	comidas	comida
5324	déjenlo	dejar
5323	deténgase	detener
5318	miran	mirar
5317	tiros	tiro
5316	caes	caer
5314	importe	importar
5310	mentí	mentir
5309	mueras	morir
5307	terminaste	terminar
5305	agradecido	agradecer
5303	aman	amar
5302	aprendiste	aprender
5299	empiezan	empezar
5298	fallo	fallar
5294	mostrarle	mostrar
5293	necesites	necesitar
5292	quite	quitar
5290	temía	temer
5289	capaces	capaz
5287	comience	comenzar
5284	confías	confiar
5283	dirán	decir
5280	ganan	ganar
5279	líderes	líder
5277	terminará	terminar
5276	cervezas	cerveza
5272	homicidios	homicidio
5271	invitar	
5270	líos	lío
5267	sabias	saber
5266	sabias	sabio
5265	tocas	tocar
5261	crecido	crecer
5259	elige	elegir
5258	estudiando	estudiar
5256	golpea	golpear
5254	internos	interno
5253	lastimado	lastimar
5250	monos	mono
5249	oportunidades	oportunidad
5247	quieta	quieto
5246	sintiendo	sentir
5244	documento	
5241	estupido	estúpido
5240	mencionó	mencionar
5238	objetivos	objetivo
5236	sacas	sacar
5233	brillantes	brillante
5231	metiste	meter
5230	pondremos	poner
5229	ropas	ropa
5226	diarios	diario
5222	interna	interno
5220	matarla	matar
5218	permitido	permitir
5215	productos	producto
5214	sufrió	sufrir
5212	atacaron	atacar
5211	denme	dar
5210	enormes	enorme
5209	escuchó	escuchar
5208	jodas	joder
5206	tiendas	tender
5205	tiendas	tienda
5202	calientes	caliente
5201	convertir	
5199	expertos	experto
5198	pierda	perder
5193	atractiva	atractivo
5190	dispare	disparar
5189	hojas	hoja
5184	robé	robar
5183	sintió	sentir
5182	caminos	camino
5180	entraron	entrar
5178	permiten	permitir
5177	piensen	pensar
5176	profunda	profundo
5175	quedarás	quedar
5174	tuyas	tuyo
5170	cállense	callar
5163	manejando	manejar
5162	necesitará	necesitar
5154	lavado	lavar
5102	convencido	convencer
5089	protegido	proteger
5087	sorprendido	sorprender
5078	aceptado	aceptar
5075	conocida	conocer
5074	conocida	conocido
5032	cuánta	cuanto
5031	cuánta	cuánto
5018	largas	largar
5017	largas	largo
5007	ocupados	ocupar
5006	ocupados	ocupado
5005	presa	preso
4991	escapado	escapar
4982	bebidas	beber
4980	bebidas	bebida
4970	rodilla	rodilla
4969	callado	callar
4933	contactos	contactar
4932	contactos	contacto
4866	vela	
4853	acuerda	acuerdo
4803	considerado	considerar
4790	medidas	medir
4789	medidas	medida
4787	significado	significar
4780	mates	mate
4779	mates	matar
4761	creó	creer
4735	causado	causar
4725	sentados	sentar
4724	sentados	sentado
4719	cumplido	cumplir
4696	dibujo	
4687	llegada	llegar
4680	esconde	esconder
4675	obras	obrar
4674	obras	obra
4667	queridos	querer
4666	queridos	querido
4658	abiertos	abrir
4657	abiertos	abierto
4655	cortado	cortar
4652	echado	echar
4610	dormida	dormir
4527	jugada	jugar
4514	armados	armar
4513	armados	armado
4503	desnuda	desnudar
4502	desnuda	desnudo
4486	pares	par
4485	pares	parar
4483	suelto	soltar
4482	suelto	
4419	cubierto	cubrir
4418	cubierto	
4414	informado	informar
4405	atrapados	atrapar
4404	atrapados	atrapado
4394	comprado	comprar
4384	notado	notar
4382	tirado	tirar
4362	puesta	poner
4361	puesta	puesto
4354	arreglado	arreglar
4307	enojada	enojar
4306	enojada	enojado
4285	tómate	tomar
4269	asesina	asesinar
4268	asesina	asesino
4233	médica	médico
4228	costado	costar
4201	encargado	encargar
4170	restos	resto
4128	bajas	baja
4127	bajas	bajo
4118	prometido	prometer
4109	salva	salvo
4108	salva	salvar
4103	sufrido	sufrir
4098	gatito	gato
4075	alcanzar	alcanzar
4073	clara	claro
4068	informes	informar
4067	informes	informe
4060	salto	saltar
4048	regresado	regresar
4030	empleados	emplear
4029	empleados	empleado
4027	pensamiento	pensamiento
4021	empleado	emplear
4017	empezado	empezar
4008	disparado	disparar
3980	amado	amar
3956	caída	caer
3955	caída	caído
3939	preparada	preparar
3938	preparada	preparado
3927	poli	policía
3910	pagado	pagar
3904	muestras	mostrar
3903	muestras	muestra
3895	ayudas	ayudar
3894	ayudas	ayuda
3890	entradas	entrar
3889	entradas	entrada
3879	olvido	olvidar
3872	encantada	encantar
3871	encantada	encantado
3842	flor	flor
3833	temas	tema
3824	visitas	visitar
3823	visitas	visita
3790	detenido	detener
3776	despedida	despedir
3775	despedida	despedido
3758	falsa	falso
3750	casados	casar
3749	casados	casado
3743	arrestado	arrestar
3741	apuestas	apostar
3740	apuestas	apuesta
3739	armado	armar
3738	armado	
3735	logro	lograr
3733	presentar	presentar
3724	destruido	destruir
3706	ejercito	ejército
3686	encanto	encantar
3678	esperado	esperar
3668	logrado	lograr
3659	peleas	pelear
3658	peleas	pelea
3635	recibo	recibir
3622	creado	crear
3595	salvado	salvar
3587	heridos	herir
3586	heridos	herido
3582	marcas	marcar
3581	marcas	marca
3573	sacado	sacar
3564	armada	armar
3558	perdidos	perder
3557	perdidos	perdido
3546	deseos	deseo
3542	pasas	pasar
3539	cierre	cerrar
3512	partida	partir
3511	partida	partido
3505	jodida	jodido
3504	jodida	joder
3493	echo	echar
3491	nacido	nacer
3471	meta	meter
3467	marco	marcar
3438	elegido	elegir
3429	escape	escapar
3406	pesado	pesar
3400	enamorada	enamorar
3394	alla	allá
3384	puestos	poner
3363	tratas	tratar
3362	quitar	
3361	conocimos	conocer
3360	verle	ver
3356	condición	
3353	camina	caminar
3352	decidí	decidir
3342	casada	casar
3341	casada	casado
3337	llamen	llamar
3336	casar	
3335	ciertas	cierto
3334	dirás	decir
3331	escalera	
3330	siglos	siglo
3328	señoritas	señorita
3326	monstruos	monstruo
3325	pelotas	pelota
3324	ponerte	poner
3323	daba	dar
3322	hecha	hacer
3321	hecha	hecho
3319	casarse	casar
3318	periódicos	periódico
3317	decidir	
3314	intentó	intentar
3311	hagámoslo	hacer
3310	trabajos	trabajo
3309	caras	cara
3307	firmar	
3306	importaría	importar
3305	seamos	ser
3303	éstos	este
3302	éstos	esto
3301	preguntó	preguntar
3300	éstas	este
3299	éstas	esta
3296	gané	ganar
3295	gatos	gato
3294	guardar	
3293	cambios	cambio
3289	envía	enviar
3287	numero	número
3284	trabajado	trabajar
3279	peces	pez
3277	vivido	vivir
3276	difíciles	difícil
3274	favorita	favorito
3273	preocuparse	preocupar
3272	volverás	volver
3271	abandonado	abandonar
3268	habíamos	haber
3264	convirtió	convertir
3262	cámaras	cámara
3261	criminales	criminal
3260	decisiones	decisión
3258	sales	salir
3256	pense	pensar
3254	hacerse	hacer
3252	ratas	rata
3251	regresó	regresar
3250	dejará	dejar
3248	minas	mina
3247	daños	daño
3244	vivimos	vivir
3242	asustada	asustar
3241	asustada	asustado
3236	deseas	desear
3235	grado	
3233	botas	botar
3231	cuales	cual
3229	mandó	mandar
3228	tómalo	tomar
3227	abogados	abogado
3223	ocurra	ocurrir
3222	pasaría	pasar
3221	bolas	bola
3219	robaron	robar
3218	sucediendo	suceder
3217	váyase	ir
3216	vd	usted
3215	llorando	llorar
3213	rapido	rápido
3212	serlo	ser
3207	tomará	tomar
3204	quedé	quedar
3203	asegúrate	asegurar
3202	convertido	convertir
3200	descubierto	descubrir
3198	entren	entrar
3194	pongan	poner
3193	empecé	empezar
3191	pondrá	poner
3190	sienten	sentar
3189	sienten	sentir
3186	molesto	molestar
3184	quedarnos	quedar
3183	queria	querer
3180	suficientes	suficiente
3179	almas	alma
3177	pasaba	pasar
3176	vendría	venir
3173	salí	salir
3172	tomamos	tomar
3169	encontraré	encontrar
3167	pistas	pista
3166	suponía	suponer
3165	quédense	quedar
3163	vinimos	venir
3162	baje	bajar
3160	llegan	llegar
3159	dudas	dudar
3158	dudas	duda
3156	nerviosa	nervioso
3154	deba	deber
3153	mostraré	mostrar
3152	llegando	llegar
3151	prometí	prometer
3148	contenta	contento
3146	fiestas	fiesta
3145	pusieron	poner
3143	ambas	ambos
3140	discúlpame	disculpar
3139	pagan	pagar
3138	venía	venir
3137	consiguió	conseguir
3132	estudiar	
3131	bebida	beber
3128	vernos	ver
3126	puro	
3125	seguido	seguir
3122	ultima	último
3121	caído	caer
3119	dejarte	dejar
3118	encuentran	encontrar
3113	apareció	aparecer
3112	criaturas	criatura
3111	junta	juntar
3110	junta	
3109	recibí	recibir
3107	salen	salir
3106	trataba	tratar
3104	bombas	bomba
3103	cargos	cargo
3101	maestra	maestro
3097	ponerme	poner
3096	cabezas	cabeza
3095	empezando	empezar
3094	matan	matar
3093	preocupada	preocupar
3092	preocupada	preocupado
3091	cajas	caja
3089	pongas	poner
3086	usado	usar
3085	vueltas	volver
3084	vueltas	vuelta
3080	llevarme	llevar
3078	cigarrillos	cigarrillo
3076	ganó	ganar
3074	pobres	pobre
3070	tranquilos	tranquilo
3069	sucedido	suceder
3067	traigan	traer
3062	metas	meter
3060	usan	usar
3059	golpes	golpe
3058	jurado	jurar
3056	privada	privado
3055	propias	propio
3054	salgo	salir
3053	quieran	querer
3052	supiera	saber
3048	mantiene	mantener
3047	tontos	tonto
3046	alemán	
3042	juntas	juntar
3037	manda	mandar
3032	buscan	buscar
3029	intentado	intentar
3028	interesado	interesar
3025	amaba	amar
3022	secreta	secreto
3015	coge	coger
3011	conocerlo	conocer
3006	mover	
3005	cuáles	cuál
3004	preparados	preparar
3003	preparados	preparado
3002	todavia	todavía
2995	invitados	invitar
2944	atrapado	atrapar
2929	conseguido	conseguir
2916	ocupada	ocupar
2869	saco	sacar
2867	heridas	herir
2863	sientas	sentar
2858	coma	comer
2856	esposas	esposa
2823	comido	comer
2812	notas	notar
2807	contado	contar
2805	enviado	enviar
2788	compra	comprar
2787	compra	compra
2780	suéltame	soltar
2772	completa	completar
2769	tele	televisión
2740	asesinado	asesinar
2719	despierto	despertar
2717	estudiantes	estudiante
2709	vuestra	vuestro
2698	fueran	ir
2679	muchísimo	mucho
2673	parada	parar
2667	parecido	parecer
2662	perdida	perder
2619	sienta	sentir
2609	crea	crear
2608	cortar	cortar
2607	cerrada	cerrar
2591	meter	meter
2580	tira	tirar
2570	odia	odiar
2562	fría	freír
2556	fuese	ir
2551	crear	crear
2520	atacar	atacar
2512	cansada	cansar
2511	cansada	cansado
2510	compras	comprar
2500	especiales	especial
2496	escapó	escapar
2494	funcionar	
2491	muero	morir
2489	poquito	poco
2487	limpiar	limpiar
2482	creemos	creer
2480	haberme	haber
2477	árboles	árbol
2476	comienzo	comenzar
2473	quedado	quedar
2470	encontrarlo	encontrar
2469	muriendo	morir
2468	romper	romper
2467	fué	ser
2466	fué	ir
2465	encuentre	encontrar
2461	habéis	haber
2460	limpia	limpiar
2459	limpia	limpio
2457	duerme	dormir
2456	firme	firmar
2453	esperan	esperar
2452	u	o
2450	caminando	caminar
2449	razones	razón
2448	tratado	tratar
2446	des	dar
2443	continúa	continuar
2441	tercer	tercero
2439	llegas	llegar
2438	llevaba	llevar
2435	tengamos	tener
2434	dejaron	dejar
2433	discúlpeme	disculpar
2431	lárgate	largar
2430	pones	poner
2429	escuchas	escuchar
2427	policia	policía
2425	robado	robar
2416	guste	gustar
2414	derechos	derecho
2412	pasos	paso
2405	disparen	disparar
2404	encontraremos	encontrar
2401	habia	haber
2397	llegaron	llegar
2396	pongo	poner
2393	apuesta	apostar
2391	importantes	importante
2390	tonta	tonto
2389	vean	ver
2385	resulta	resultar
2380	desaparecido	desaparecer
2373	comenzó	comenzar
2371	precioso	
2370	querían	querer
2367	compañeros	compañero
2366	corta	cortar
2365	corta	corto
2364	dispara	disparar
2359	fuertes	fuerte
2357	olvida	olvidar
2356	preguntaba	preguntar
2355	salgamos	salir
2353	volviendo	volver
2348	diles	decir
2347	ayudarlo	ayudar
2340	resultados	resultado
2336	pasan	pasar
2334	andar	
2333	ocurrido	ocurrir
2332	llevaron	llevar
2330	esperas	esperar
2329	esperas	espera
2328	acciones	acción
2327	libres	libre
2325	miembro	
2323	hablan	hablar
2322	relaciones	relación
2319	hablemos	hablar
2318	idiotas	idiota
2315	poniendo	poner
2314	contó	contar
2313	entera	entero
2308	habido	haber
2307	intentarlo	intentar
2302	escuchado	escuchar
2301	esperamos	esperar
2300	oigo	oír
2299	pasé	pasar
2297	llego	llegar
2296	recuerdos	recuerdo
2293	corto	cortar
2288	decirles	decir
2282	seguimos	seguir
2280	disculpas	disculpar
2279	disculpas	disculpa
2278	escuchando	escuchar
2274	dejarlo	dejar
2273	maravillosa	maravilloso
2271	pareció	parecer
2267	regrese	regresar
2265	perdiste	perder
2263	acabas	acabar
2261	mirada	mirar
2259	olvides	olvidar
2258	parado	parar
2254	sentía	sentir
2253	váyanse	ir
2252	regresen	regresar
2244	asesinos	asesino
2240	trabajas	trabajar
2238	respirar	
2237	tantas	tanto
2236	veía	ver
2235	autos	auto
2227	iban	ir
2226	olvidé	olvidar
2223	matando	matar
2222	papeles	papel
2220	reino	reinar
2218	perdóname	perdonar
2215	fueras	ir
2214	fueras	ser
2213	agentes	agente
2212	andando	andar
2211	recibido	recibir
2210	vimos	ver
2209	cae	caer
2208	quedas	quedar
2206	dudo	dudar
2204	llevamos	llevar
2202	blancos	blanco
2201	doctora	
2199	dias	día
2189	números	número
2186	viviendo	vivir
2185	conocerte	conocer
2184	robó	robar
2183	hiciera	hacer
2178	déjenme	dejar
2176	harías	hacer
2175	varias	varios
2174	vives	vivir
2173	juegos	juego
2171	cuantos	cuanto
2170	perdimos	perder
2167	confía	confiar
2165	mentiras	mentira
2162	ángel	ángel
2160	escucho	escuchar
2159	caballos	caballo
2157	perdone	perdonar
2156	pocos	poco
2155	cuidar	
2152	guardias	guardia
2151	hables	hablar
2149	teniendo	tener
2148	mires	mirar
2146	viniste	venir
2145	siéntese	sentar
2144	vuelvas	volver
2141	presente	presentar
2139	tomaré	tomar
2138	tardes	tardar
2137	tardes	tarde
2133	gustó	gustar
2128	abierta	abrir
2127	abierta	abierto
2125	droga	
2123	olvidar	olvidar
2122	tomas	tomar
2120	ideas	idea
2115	conocemos	conocer
2113	llamadas	llamar
2112	llamadas	llamada
2109	necesitar	
2108	créeme	creer
2107	gustaba	gustar
2106	historias	historia
2098	malos	malo
2097	americanos	americano
2096	robar	
2090	dormido	dormir
2089	llamando	llamar
2087	respuestas	respuesta
2086	descansar	
2085	dura	durar
2084	dura	duro
2083	pide	pedir
2081	cuerpos	cuerpo
2077	date	dar
2075	busco	buscar
2073	termina	terminar
2072	tomo	tomar
2070	puedan	poder
2068	conocen	conocer
2067	llamé	llamar
2061	piensan	pensar
2059	habló	hablar
2058	pesar	
2057	entró	entrar
2055	disculpen	disculpar
2054	pacientes	paciente
2049	preocupado	preocupar
2047	saldrá	salir
2046	enemigos	enemigo
2045	llamaba	llamar
2044	oficiales	oficial
2040	quedo	quedar
