,Dutch,POS,Translation
1366,wraak,Noun,revenge
1367,sexy,Noun,sexy
1368,gauw,Adjective,soon
1369,slot,Noun,key lock
1370,afstand,Noun,distance
1371,Washington,Proper noun,Washington
1372,gratis,Adjective,free
1373,wint,Verb,wins
1374,reed,Verb,drove
1375,strijd,Noun,conflict
1376,ervaring,Noun,experience
1377,honderd,Numeral,hundred
1378,bouwen,Verb,to build
1379,leiding,Noun,pipe
1380,schoon,Adjective,beautiful
1381,geslagen,Verb,beaten
1382,draait,Verb,turns
1383,belangrijke,Adjective,important
1384,risico,Noun,risk
1385,trap,Noun,stairs
1386,prinses,Noun,princess
1387,verantwoordelijk,Adjective,responsible
1388,neuken,Noun,fuck
1389,goedenavond,Adjective,Good evening
1390,slachtoffers,Noun,victims
1391,bezit,Verb,possess
1392,noemde,Verb,mentioned
1393,armen,Noun,poor
1394,roep,Noun,call
1395,schoot,Verb,shot
1396,vertrek,Noun,departure
1397,restaurant,Noun,restaurant
1398,geniet,Verb,enjoy
1399,gepraat,Verb,talked
1400,dikke,Adjective,thick
1401,rol,Noun,role
1402,kerels,Noun,guys
1403,tijden,Noun,times
1404,misdaad,Noun,crime
1405,homo,Noun,homo
1406,leef,Verb,live
1407,springen,Verb,to jump
1408,directeur,Noun,director
1409,erachter,Adverb,behind it
1410,start,Verb,Start
1411,wezen,Verb,being
1412,rijdt,Verb,drives
1413,duizend,Numeral,thousand
1414,wow,Noun,wow
1415,prins,Noun,Prince
1416,antwoorden,Verb,answers
1417,raakte,Verb,hit
1418,tekenen,Verb,to draw
1419,vieren,Verb,to celebrate
1420,perfecte,Adjective,perfect
1421,zorgt,Verb,cares
1422,behoorlijk,Adjective,fairly
1423,majesteit,Noun,majesty
1424,luistert,Verb,listens
1425,waarover,Adverb,about what
1426,nadenken,Verb,think it over
1427,volgt,Verb,follows
1428,neef,Noun,cousin
1429,gestoord,Verb,disturbed
1430,vertaald,Verb,translated
1431,mijnheer,Noun,Sir
1432,gewone,Adjective,ordinary
1433,taak,Noun,task
1434,Londen,Proper noun,London
1435,aanvallen,Verb,to attack
1436,opa,Noun,grandpa
1437,rook,Noun,smoke
1438,geweten,Noun,known
1439,trouw,Proper noun,fidelity
1440,signaal,Noun,signal
1441,kussen,Verb,to kiss
1442,ouder,Adjective,older
1443,dankzij,Preposition,thanks to
1444,lach,Noun,smile
1445,sporen,Verb,tracks
1446,jas,Noun,jacket
1447,godverdomme,Adjective,Goddamnit
1448,ster,Noun,star
1449,sloeg,Verb,hit
1450,verschrikkelijk,Adjective,terrible
1451,vlug,Adjective,quickly
1452,tegenhouden,Verb,to prevent
1453,wonder,Noun,miracle
1454,toegang,Noun,access
1455,afdeling,Noun,department
1456,pad,Noun,path
1457,besloten,Verb,decided
1458,vorm,Noun,form
1459,uren,Noun,hours
1460,stopt,Verb,stops
1461,medicijnen,Noun,medicines
1462,bek,Symbol,beak
1463,majoor,Noun,major
1464,gekozen,Verb,chosen
1465,beveiliging,Noun,security
1466,ah,Preposition,Ah
1467,fijne,Adjective,nice
1468,controleren,Noun,check
1469,onschuldig,Adjective,innocent
1470,dossier,Noun,file
1471,boel,Noun,bunch
1472,durf,Noun,dare
1473,maan,Noun,Moon
1474,post,Noun,post
1475,auto's,Noun,cars
1476,betreft,Verb,Re
1477,leeftijd,Noun,age
1478,toevallig,Adjective,chance
1479,bos,Noun,bunch
1480,waarin,Adverb,in which
1481,ineens,Adverb,suddenly
1482,overleden,Verb,dead
1483,Clark,Proper noun,Clark
1484,kosten,Noun,cost
1485,gemeen,Adjective,mean
1486,landen,Noun,to land
1487,enorm,Adjective,enormous
1488,sommigen,Verb,some
1489,opeens,Adverb,suddenly
1490,senator,Noun,senator
1491,gedoe,Noun,hassle
1492,enorme,Adjective,huge
1493,bloemen,Noun,flowers
1494,steen,Noun,stone
1495,opzij,Adverb,aside
1496,openen,Verb,to open
1497,tanden,Noun,teeth
1498,hersenen,Noun,brain
1499,getuigen,Verb,to give evidence
